rank	lexeme_id	cell	system	policy	expected_expanded	expected_printed	source_id	passage	provenance	decision	review_reason
435	synodal:numeral:dva	numeral:cardinal:genitive:dual:masculine:inanimate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
436	synodal:numeral:dva	numeral:cardinal:genitive:dual:neuter:animate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
437	synodal:numeral:dva	numeral:cardinal:genitive:dual:neuter:inanimate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
438	synodal:numeral:dva	numeral:cardinal:instrumental:dual:any:animate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
439	synodal:numeral:dva	numeral:cardinal:instrumental:dual:any:inanimate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
440	synodal:numeral:dva	numeral:cardinal:instrumental:dual:feminine:animate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
441	synodal:numeral:dva	numeral:cardinal:instrumental:dual:feminine:inanimate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
442	synodal:numeral:dva	numeral:cardinal:instrumental:dual:masculine:animate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
443	synodal:numeral:dva	numeral:cardinal:instrumental:dual:masculine:inanimate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
444	synodal:numeral:dva	numeral:cardinal:instrumental:dual:neuter:animate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
445	synodal:numeral:dva	numeral:cardinal:instrumental:dual:neuter:inanimate	numeral	strict	двѣма	двѣма̀	ponomar-elizabeth-bible-2026-08-09	Acts.21.33	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:dual:any:animate,numeral:cardinal:dative:dual:any:inanimate,numeral:cardinal:dative:dual:feminine:animate,numeral:cardinal:dative:dual:feminine:inanimate,numeral:cardinal:dative:dual:masculine:animate,numeral:cardinal:dative:dual:masculine:inanimate,numeral:cardinal:dative:dual:neuter:animate,numeral:cardinal:dative:dual:neuter:inanimate,numeral:cardinal:instrumental:dual:any:animate,numeral:cardinal:instrumental:dual:any:inanimate,numeral:cardinal:instrumental:dual:feminine:animate,numeral:cardinal:instrumental:dual:feminine:inanimate,numeral:cardinal:instrumental:dual:masculine:animate,numeral:cardinal:instrumental:dual:masculine:inanimate,numeral:cardinal:instrumental:dual:neuter:animate,numeral:cardinal:instrumental:dual:neuter:inanimate
446	synodal:numeral:dva	numeral:cardinal:locative:dual:any:animate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
447	synodal:numeral:dva	numeral:cardinal:locative:dual:any:inanimate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
448	synodal:numeral:dva	numeral:cardinal:locative:dual:feminine:animate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
449	synodal:numeral:dva	numeral:cardinal:locative:dual:feminine:inanimate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
450	synodal:numeral:dva	numeral:cardinal:locative:dual:masculine:animate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
451	synodal:numeral:dva	numeral:cardinal:locative:dual:masculine:inanimate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
452	synodal:numeral:dva	numeral:cardinal:locative:dual:neuter:animate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
453	synodal:numeral:dva	numeral:cardinal:locative:dual:neuter:inanimate	numeral	strict	двою	двою̀	ponomar-elizabeth-bible-2026-08-09	Amos.1.1	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:genitive:dual:any:animate,numeral:cardinal:genitive:dual:any:inanimate,numeral:cardinal:genitive:dual:feminine:animate,numeral:cardinal:genitive:dual:feminine:inanimate,numeral:cardinal:genitive:dual:masculine:animate,numeral:cardinal:genitive:dual:masculine:inanimate,numeral:cardinal:genitive:dual:neuter:animate,numeral:cardinal:genitive:dual:neuter:inanimate,numeral:cardinal:locative:dual:any:animate,numeral:cardinal:locative:dual:any:inanimate,numeral:cardinal:locative:dual:feminine:animate,numeral:cardinal:locative:dual:feminine:inanimate,numeral:cardinal:locative:dual:masculine:animate,numeral:cardinal:locative:dual:masculine:inanimate,numeral:cardinal:locative:dual:neuter:animate,numeral:cardinal:locative:dual:neuter:inanimate
454	synodal:numeral:dva	numeral:cardinal:nominative:dual:feminine:animate	numeral	strict	двѣ	двѣ̀	ponomar-elizabeth-bible-2026-08-09	Apoc.9.16	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:dual:feminine:inanimate,numeral:cardinal:accusative:dual:neuter:inanimate,numeral:cardinal:nominative:dual:feminine:animate,numeral:cardinal:nominative:dual:feminine:inanimate,numeral:cardinal:nominative:dual:neuter:animate,numeral:cardinal:nominative:dual:neuter:inanimate
455	synodal:numeral:dva	numeral:cardinal:nominative:dual:feminine:inanimate	numeral	strict	двѣ	двѣ̀	ponomar-elizabeth-bible-2026-08-09	Apoc.9.16	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:dual:feminine:inanimate,numeral:cardinal:accusative:dual:neuter:inanimate,numeral:cardinal:nominative:dual:feminine:animate,numeral:cardinal:nominative:dual:feminine:inanimate,numeral:cardinal:nominative:dual:neuter:animate,numeral:cardinal:nominative:dual:neuter:inanimate
456	synodal:numeral:dva	numeral:cardinal:nominative:dual:masculine:animate	numeral	strict	два	два̀	ponomar-elizabeth-bible-2026-08-09	Acts.19.22	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:dual:masculine:inanimate,numeral:cardinal:nominative:dual:masculine:animate
457	synodal:numeral:dva	numeral:cardinal:nominative:dual:neuter:animate	numeral	strict	двѣ	двѣ̀	ponomar-elizabeth-bible-2026-08-09	Apoc.9.16	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:dual:feminine:inanimate,numeral:cardinal:accusative:dual:neuter:inanimate,numeral:cardinal:nominative:dual:feminine:animate,numeral:cardinal:nominative:dual:feminine:inanimate,numeral:cardinal:nominative:dual:neuter:animate,numeral:cardinal:nominative:dual:neuter:inanimate
458	synodal:numeral:dva	numeral:cardinal:nominative:dual:neuter:inanimate	numeral	strict	двѣ	двѣ̀	ponomar-elizabeth-bible-2026-08-09	Apoc.9.16	normative	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:dual:feminine:inanimate,numeral:cardinal:accusative:dual:neuter:inanimate,numeral:cardinal:nominative:dual:feminine:animate,numeral:cardinal:nominative:dual:feminine:inanimate,numeral:cardinal:nominative:dual:neuter:animate,numeral:cardinal:nominative:dual:neuter:inanimate
459	synodal:numeral:edin	numeral:cardinal:accusative:singular:masculine:animate	numeral	strict	єдинаго	є҆ди́наго	ponomar-elizabeth-bible-2026-08-09	Acts.23.17	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:inanimate,numeral:cardinal:genitive:singular:neuter:animate,numeral:cardinal:genitive:singular:neuter:inanimate
460	synodal:numeral:edin	numeral:cardinal:accusative:singular:neuter:inanimate	numeral	strict	єдино	є҆ди́но	ponomar-elizabeth-bible-2026-08-09	Dan.2.31	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:neuter:inanimate,numeral:cardinal:nominative:singular:neuter:animate,numeral:cardinal:nominative:singular:neuter:inanimate
461	synodal:numeral:edin	numeral:cardinal:dative:singular:masculine:animate	numeral	strict	єдиномꙋ	є҆ди́номꙋ	ponomar-elizabeth-bible-2026-08-09	Acts.23.22	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:singular:masculine:animate,numeral:cardinal:dative:singular:masculine:inanimate,numeral:cardinal:dative:singular:neuter:animate,numeral:cardinal:dative:singular:neuter:inanimate
462	synodal:numeral:edin	numeral:cardinal:dative:singular:masculine:inanimate	numeral	strict	єдиномꙋ	є҆ди́номꙋ	ponomar-elizabeth-bible-2026-08-09	Acts.23.22	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:singular:masculine:animate,numeral:cardinal:dative:singular:masculine:inanimate,numeral:cardinal:dative:singular:neuter:animate,numeral:cardinal:dative:singular:neuter:inanimate
463	synodal:numeral:edin	numeral:cardinal:dative:singular:neuter:animate	numeral	strict	єдиномꙋ	є҆ди́номꙋ	ponomar-elizabeth-bible-2026-08-09	Acts.23.22	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:singular:masculine:animate,numeral:cardinal:dative:singular:masculine:inanimate,numeral:cardinal:dative:singular:neuter:animate,numeral:cardinal:dative:singular:neuter:inanimate
464	synodal:numeral:edin	numeral:cardinal:dative:singular:neuter:inanimate	numeral	strict	єдиномꙋ	є҆ди́номꙋ	ponomar-elizabeth-bible-2026-08-09	Acts.23.22	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:dative:singular:masculine:animate,numeral:cardinal:dative:singular:masculine:inanimate,numeral:cardinal:dative:singular:neuter:animate,numeral:cardinal:dative:singular:neuter:inanimate
465	synodal:numeral:edin	numeral:cardinal:genitive:singular:masculine:animate	numeral	strict	єдинаго	є҆ди́наго	ponomar-elizabeth-bible-2026-08-09	Acts.23.17	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:inanimate,numeral:cardinal:genitive:singular:neuter:animate,numeral:cardinal:genitive:singular:neuter:inanimate
466	synodal:numeral:edin	numeral:cardinal:genitive:singular:masculine:inanimate	numeral	strict	єдинаго	є҆ди́наго	ponomar-elizabeth-bible-2026-08-09	Acts.23.17	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:inanimate,numeral:cardinal:genitive:singular:neuter:animate,numeral:cardinal:genitive:singular:neuter:inanimate
467	synodal:numeral:edin	numeral:cardinal:genitive:singular:neuter:animate	numeral	strict	єдинаго	є҆ди́наго	ponomar-elizabeth-bible-2026-08-09	Acts.23.17	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:inanimate,numeral:cardinal:genitive:singular:neuter:animate,numeral:cardinal:genitive:singular:neuter:inanimate
468	synodal:numeral:edin	numeral:cardinal:genitive:singular:neuter:inanimate	numeral	strict	єдинаго	є҆ди́наго	ponomar-elizabeth-bible-2026-08-09	Acts.23.17	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:animate,numeral:cardinal:genitive:singular:masculine:inanimate,numeral:cardinal:genitive:singular:neuter:animate,numeral:cardinal:genitive:singular:neuter:inanimate
469	synodal:numeral:edin	numeral:cardinal:nominative:singular:feminine:animate	numeral	strict	єдина	є҆ди́на	ponomar-elizabeth-bible-2026-08-09	Acts.28.18	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:nominative:singular:feminine:animate,numeral:cardinal:nominative:singular:feminine:inanimate
470	synodal:numeral:edin	numeral:cardinal:nominative:singular:feminine:inanimate	numeral	strict	єдина	є҆ди́на	ponomar-elizabeth-bible-2026-08-09	Acts.28.18	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:nominative:singular:feminine:animate,numeral:cardinal:nominative:singular:feminine:inanimate
471	synodal:numeral:edin	numeral:cardinal:nominative:singular:neuter:animate	numeral	strict	єдино	є҆ди́но	ponomar-elizabeth-bible-2026-08-09	Dan.2.31	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:neuter:inanimate,numeral:cardinal:nominative:singular:neuter:animate,numeral:cardinal:nominative:singular:neuter:inanimate
472	synodal:numeral:edin	numeral:cardinal:nominative:singular:neuter:inanimate	numeral	strict	єдино	є҆ди́но	ponomar-elizabeth-bible-2026-08-09	Dan.2.31	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:cardinal:accusative:singular:neuter:inanimate,numeral:cardinal:nominative:singular:neuter:animate,numeral:cardinal:nominative:singular:neuter:inanimate
473	synodal:numeral:pervyi	numeral:ordinal:accusative:plural:any:animate	numeral	strict	первыхъ	пе́рвыхъ	ponomar-elizabeth-bible-2026-08-09	Deut.13.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: numeral:ordinal:accusative:plural:any:animate,numeral:ordinal:accusative:plural:feminine:animate,numeral:ordinal:accusative:plural:masculine:animate,numeral:ordinal:accusative:plural:neuter:animate,numeral:ordinal:genitive:plural:any:animate,numeral:ordinal:genitive:plural:any:inanimate,numeral:ordinal:genitive:plural:feminine:animate,numeral:ordinal:genitive:plural:feminine:inanimate,numeral:ordinal:genitive:plural:masculine:animate,numeral:ordinal:genitive:plural:masculine:inanimate,numeral:ordinal:genitive:plural:neuter:animate,numeral:ordinal:genitive:plural:neuter:inanimate,numeral:ordinal:locative:plural:any:animate,numeral:ordinal:locative:plural:any:inanimate,numeral:ordinal:locative:plural:feminine:animate,numeral:ordinal:locative:plural:feminine:inanimate,numeral:ordinal:locative:plural:masculine:animate,numeral:ordinal:locative:plural:masculine:inanimate,numeral:ordinal:locative:plural:neuter:animate,numeral:ordinal:locative:plural:neuter:inanimate
