# projection-study.tsv — per-OCS-lexeme detail of the phase-1 projection study.
# generated-by: cargo xtask projection-study
# contract: docs/UNIFIED_LANGUAGE_PROMPT.md (execution plan step 1).
lexeme_id	pos	lemma	candidates	match_kind	matched_key	cells	cells_exact	cells_accent_blind	cells_divergent	cells_unprojectable
ароматъ|noun|700b01f15b41cabb	noun	ароматъ	1	registered-lexeme	ароматъ	21	0	6	15	0
архангелъ|noun|c485b72d002bb304	noun	архангелъ	1	none		21	0	0	21	0
архиепискоупъ|noun|6bf3dfbde7c95821	noun	архиепискоупъ	1	none		23	0	0	23	0
архистратигъ|noun|b07b204f89743349	noun	архистратигъ	1	none		21	0	0	21	0
архитриклинъ|noun|86faabfc16194710	noun	архитриклинъ	1	none		23	0	0	23	0
ассарии|noun|7f4f6dfbf0dd3ee3	noun	ассарии	1	none		21	0	0	21	0
асіꙗ|noun|1e89b463907330c3	noun	Асіꙗ	1	registered-lexeme	асиѧ	7	0	4	3	0
асѵрии|noun|fc4feeace5cdbb92	noun	асѵрии	1	none		21	0	0	21	0
афедронъ|noun|50960eae985c9d66	noun	афедронъ	1	oracle-type	афедронъ	21	0	5	16	0
афріка|noun|1152f7922a791dd6	noun	Афріка	1	none		7	0	0	7	0
ащеръ|noun|0fd542962262d5d6	noun	ащеръ	1	none		23	0	0	23	0
аѳанасииъ|noun|70ab5a7b69a6b815	noun	Аѳанасииъ	1	none		21	0	0	21	0
баба|noun|0aad973e33a40639	noun	баба	1	oracle-type	баба	21	0	9	12	0
багъръ|noun|9d199d1ee0aa8f13	noun	багъръ	3	none		21	0	0	21	0
багърѣница|noun|0c39aa9857403346	noun	багърѣница	3	none		21	0	0	21	0
балии|noun|caab430f9dab4cd1	noun	балии	1	none		21	0	0	21	0
балованиѥ|noun|0a036eea5c2c1754	noun	балованиѥ	1	none		21	0	0	21	0
баловати|verb|787d7296dd851d1b	verb	баловати	1	none		11	0	0	11	0
бальи|noun|f8a4be70fb410f6a	noun	бальи	3	none		21	0	0	21	0
бальство|noun|a9878cf699804bc9	noun	бальство	3	none		21	0	0	21	0
банꙗ|noun|af21ac729b7a1f3d	noun	банꙗ	1	none		21	0	6	15	0
баꙗниѥ|noun|eeeaa1a26cce804a	noun	баꙗниѥ	1	none		21	0	0	21	0
баꙗти|verb|bdd8d483472158ef	verb	баꙗти	1	none		11	0	0	11	0
бедра|noun|9c7a401f3b3a20ce	noun	бедра	1	none		21	0	13	8	0
безблазьнъ|adj|7d90df45b0125863	adj	безблазьнъ	3	none		252	0	0	252	0
безбожьникъ|noun|74c566b315dc67b7	noun	безбожьникъ	3	none		21	0	0	21	0
безбожьѥ|noun|8368404d5b17c084	noun	безбожьѥ	3	none		21	0	0	21	0
безградьникъ|noun|b76d8fdc5366a5be	noun	безградьникъ	3	none		21	0	0	21	0
бездъждьѥ|noun|991cde4b1942e6d9	noun	бездъждьѥ	9	none		21	0	0	21	0
бездъна|noun|983c50987663a358	noun	бездъна	3	oracle-type	бездна	21	0	15	6	0
безлобьѥ|noun|21d4eaba326d5f2c	noun	безлобьѥ	3	none		21	0	0	21	0
безмлъвиѥ|noun|7a45495dcffdb0ab	noun	безмлъвиѥ	3	none		21	0	0	21	0
безмьздьникъ|noun|5c2dd58a1936de0c	noun	безмьздьникъ	9	none		21	0	0	21	0
безмѣриѥ|noun|21bdd21342f783cd	noun	безмѣриѥ	1	none		21	0	0	21	0
безнадеждьнъ|adj|29a536970a35b359	adj	безнадеждьнъ	3	none		252	0	0	252	0
безоумьникъ|noun|6427270905911e7a	noun	безоумьникъ	3	none		21	0	0	21	0
безоумьнъ|noun|1e9e4232cefa479b	noun	безоумьнъ	3	oracle-type	безуменъ	82	0	39	43	0
безоумьѥ|noun|6626d4f255c23c15	noun	безоумьѥ	3	none		21	0	0	21	0
безпоносьнъ|adj|749ad4f14fc91129	adj	безпоносьнъ	3	none		252	0	0	252	0
