# synodal-gold-gap.tsv — the committed gap worklist of the Synodal gold gate.
# generated-by: cargo xtask synodal-gold --fix
# contract: docs/SYNODAL_GOLD_ORACLE.md; one row per failing token type or paradigm cell.
# The gate (synodal-gold --check) fails if the regenerated gap is not a subset of this file.
oracle	key	reason	engine_output	expected
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::second::imperative	unregistered-lemma		и҆м-ѣ́-й-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:plural::second::imperative	unregistered-lemma		ꙗ҆д-и́-те
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		вѣ́жд-ь
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		да́жд-ь
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		и҆м-ѣ́-й
paradigm	§103. Глаголы архаического спряжения|p103.htm|2|||:singular::second+third::imperative	unregistered-lemma		ꙗ҆́жд-ь
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|accusative:plural::::	unreviewed-cell		кра̑-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|accusative:singular::::	unreviewed-cell		кра́-й
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|dative+instrumental:dual::::	unreviewed-cell		кра́-ема
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|dative:singular::::	unreviewed-cell		кра́-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|genitive+locative:dual::::	unreviewed-cell		кра̑-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|genitive:plural::::	engine-wrong-accent	кра́євъ	кра-є́въ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|genitive:singular::::	unreviewed-cell		кра́-ѧ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|instrumental:plural::::	engine-wrong-accent	краи̑	кра̑-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|locative:plural::::	unreviewed-cell		кра́-ехъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|locative:singular::::	unreviewed-cell		кра́-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|nominative+vocative:plural::::	engine-wrong-accent	краи̑	кра̑-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|кра́-й|Мягкое склонение|vocative:singular::::	unreviewed-cell		кра́-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|accusative:plural::::	engine-wrong-accent	мо́рѧ	мор-ѧ̀
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|dative+instrumental:dual::::	unreviewed-cell		мо́р-ема
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|dative:plural::::	engine-wrong-accent	мо́рємъ	мор-є́мъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|genitive+locative:dual::::	unreviewed-cell		мѡ́р-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|genitive:plural::::	unreviewed-cell		мор-е́й
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|instrumental:plural::::	unreviewed-cell		мѡ́р-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|nominative+accusative+vocative:dual::::	unreviewed-cell		мѡ́р-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|nominative:singular::::	unreviewed-cell		мо́р-е
paradigm	§34. Образцы 1-го склонения|p034.htm|1|мо́р-е|Мягкое склонение|vocative:singular::::	unreviewed-cell		мо́р-е
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ра́б-ъ|Твердое склонение|dative+instrumental:dual::::	unreviewed-cell		раб-о́ма
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ра́б-ъ|Твердое склонение|genitive+locative:dual::::	unreviewed-cell		раб-ꙋ̑
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ра́б-ъ|Твердое склонение|instrumental:plural::::	engine-wrong-accent	рабы̑	раб-ы̀
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|dative+instrumental:dual::::	unreviewed-cell		сел-о́ма
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|dative:plural::::	unreviewed-cell		сел-ѡ́мъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|dative:singular::::	unreviewed-cell		сел-ꙋ̀
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|genitive+locative:dual::::	unreviewed-cell		сєл-ꙋ̀
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|genitive:plural::::	unreviewed-cell		се́л-ъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|instrumental:plural::::	unreviewed-cell		се́л-ы
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|instrumental:singular::::	unreviewed-cell		сел-о́мъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|сел-о̀|Твердое склонение|nominative+accusative+vocative:dual::::	unreviewed-cell		сел-а̑
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ца́р-ь|Мягкое склонение|dative+instrumental:dual::::	unreviewed-cell		цар-е́ма
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ца́р-ь|Мягкое склонение|dative:plural::::	engine-wrong-form	царе́мъ	цар-є́мъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ца́р-ь|Мягкое склонение|genitive+locative:dual::::	unreviewed-cell		цар-ю̑
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ца́р-ь|Мягкое склонение|instrumental:plural::::	unreviewed-cell		цар-ѝ (-ьмѝ)
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ца́р-ь|Мягкое склонение|locative:plural::::	unreviewed-cell		цар-е́хъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|ца́р-ь|Мягкое склонение|nominative+accusative+vocative:dual::::	unreviewed-cell		цар-ѧ̑
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|accusative:plural::::	unregistered-lemma		і҆ерє́-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|accusative:singular::::	unregistered-lemma		і҆ере́-а
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|dative+instrumental:dual::::	unregistered-lemma		і҆ере́-ема (-ома)
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|dative:plural::::	unregistered-lemma		і҆ере́-ємъ (-ѡмъ)
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|dative:singular::::	unregistered-lemma		і҆ере́-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|genitive+locative:dual::::	unregistered-lemma		і҆ерє́-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|genitive:plural::::	unregistered-lemma		і҆ерє́-й
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|genitive:singular::::	unregistered-lemma		і҆ере́-а
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|instrumental:plural::::	unregistered-lemma		і҆ерє́-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|instrumental:singular::::	unregistered-lemma		і҆ере́-емъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|locative:plural::::	unregistered-lemma		і҆ере́-ехъ
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|locative:singular::::	unregistered-lemma		і҆ере́-и
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|nominative+accusative+vocative:dual::::	unregistered-lemma		і҆ерє́-а
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|nominative+vocative:plural::::	unregistered-lemma		і҆ере́-є
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|nominative:singular::::	unregistered-lemma		і҆ере́-й
paradigm	§34. Образцы 1-го склонения|p034.htm|1|і҆ере́-й|Мягкое склонение|vocative:singular::::	unregistered-lemma		і҆ере́-ю (-е)
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|accusative:plural::::	unreviewed-cell		дꙋ́х-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|accusative:singular::::	unreviewed-cell		дꙋ́х-ъ (а)
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|dative+instrumental:dual::::	unreviewed-cell		дꙋ́х-ома
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|dative:plural::::	unreviewed-cell		дꙋх-ѡ́мъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|dative:singular::::	unreviewed-cell		дꙋ́х-ꙋ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|genitive+locative:dual::::	unreviewed-cell		дꙋ̑х-ꙋ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|genitive:plural::::	unreviewed-cell		дꙋх-ѡ́въ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|instrumental:plural::::	unreviewed-cell		дꙋ́х-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|locative:plural::::	unreviewed-cell		дꙋ́с-ѣхъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|locative:singular::::	unreviewed-cell		дꙋ́с-ѣ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|nominative+accusative+vocative:dual::::	unreviewed-cell		дꙋ̑х-а
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|nominative+vocative:plural::::	unreviewed-cell		дꙋ́с-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|nominative:singular::::	unreviewed-cell		дꙋ́х-ъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|дꙋ́х-ъ|Твердое склонение на гортанный|vocative:singular::::	unreviewed-cell		дꙋ́ш-е
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|accusative:plural::::	unreviewed-cell		зна́мєнї-ѧ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|dative+instrumental:dual::::	unreviewed-cell		зна́менї-ема
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|dative:plural::::	unreviewed-cell		зна́менї-ємъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|dative:singular::::	unreviewed-cell		зна́менї-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|genitive+locative:dual::::	unreviewed-cell		зна́мєнї-ю
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|genitive:plural::::	unreviewed-cell		зна́менї-й
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|genitive:singular::::	unreviewed-cell		зна́менї-ѧ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|instrumental:plural::::	unreviewed-cell		зна́мєнї-и зна́мен-(ь)ми
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|instrumental:singular::::	unreviewed-cell		зна́менї-емъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|locative:plural::::	unreviewed-cell		зна́менї-ихъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|locative:singular::::	unreviewed-cell		зна́менї-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|nominative+accusative+vocative:dual::::	unreviewed-cell		зна́мєнї-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|nominative+vocative:plural::::	unreviewed-cell		зна́мєнї-ѧ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|зна́менї-е|Мягкое склонение на -їе|vocative:singular::::	unreviewed-cell		зна́менї-е
paradigm	§34. Образцы 1-го склонения|p034.htm|2|мꙋ́ж-ъ|Смешанное склонение|dative+instrumental:dual::::	unreviewed-cell		мꙋ́ж-ема
paradigm	§34. Образцы 1-го склонения|p034.htm|2|мꙋ́ж-ъ|Смешанное склонение|dative:plural::::	unreviewed-cell		мꙋж-є́мъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|мꙋ́ж-ъ|Смешанное склонение|genitive+locative:dual::::	unreviewed-cell		мꙋ̑ж-ꙋ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|мꙋ́ж-ъ|Смешанное склонение|locative:plural::::	engine-wrong-form	мꙋже́хъ	мꙋж-а́хъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|мꙋ́ж-ъ|Смешанное склонение|locative:singular::::	unreviewed-cell		мꙋ́ж-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|мꙋ́ж-ъ|Смешанное склонение|nominative+vocative:plural::::	engine-wrong-accent	мꙋ́жи	мꙋ̑ж-и (-їе)
paradigm	§34. Образцы 1-го склонения|p034.htm|2|мꙋ́ж-ъ|Смешанное склонение|vocative:singular::::	unreviewed-cell		мꙋ́ж-ꙋ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|accusative:plural::::	unregistered-lemma		ѻ҆́трок-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|accusative:singular::::	unregistered-lemma		ѻ҆́трок-а
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|dative+instrumental:dual::::	unregistered-lemma		ѻ҆́трок-ома
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|dative:plural::::	unregistered-lemma		ѻ҆трок-ѡ́мъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|dative:singular::::	unregistered-lemma		ѻ҆́трок-ꙋ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|genitive+locative:dual::::	unregistered-lemma		ѻ҆́трѡк-ꙋ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|genitive:plural::::	unregistered-lemma		ѻ҆трок-ѡ́въ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|genitive:singular::::	unregistered-lemma		ѻ҆́трок-а
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|instrumental:plural::::	unregistered-lemma		ѻ҆́трок-и
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|instrumental:singular::::	unregistered-lemma		ѻ҆́трок-омъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|locative:plural::::	unregistered-lemma		ѻ҆́троц-ѣхъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|locative:singular::::	unregistered-lemma		ѻ҆́троц-ѣ
