absorbed	survivor
боголюбнѣ.x.2	боголюбный.a
боголѣпнѡ.x.2	боголѣпный.a
боголѣпнѣ.x.2	боголѣпный.a
богомꙋжнѡ.x.2	богомꙋжный.a
богомꙋжнѣ.x.2	богомꙋжный.a
богоначальнѡ.x.2	богоначальный.a
богообразнѣ.x.2	богообразный.a
богоподобнѡ.x.2	богоподобный.a
богоподражательнѡ.x.2	богоподражательный.a
богоподражательнѣ.x.2	богоподражательный.a
богопокорнѡ.x.2	богопокорный.a
богопроповѣднѡ.x.2	богопроповѣдный.a
богопріѧтнѡ.x.2	богопріѧтный.a
богоразꙋмнѡ.x.2	богоразꙋмный.a
свѧщенноѡбразнѡ.x.2	свѧщенноѡбразный.a
благоцвѣтый.a	благоцвѣтꙋщій.a
