# Old Church Slavonic adjective classes seeded from Kaikki's tables (short and long series).
class	exemplar	strip	stems	short.pos.m.sg.nom	short.pos.m.sg.gen	short.pos.m.sg.dat	short.pos.m.sg.acc	short.pos.m.sg.ins	short.pos.m.sg.loc	short.pos.m.sg.voc	short.pos.m.du.nom	short.pos.m.du.gen	short.pos.m.du.dat	short.pos.m.du.acc	short.pos.m.du.ins	short.pos.m.du.loc	short.pos.m.du.voc	short.pos.m.pl.nom	short.pos.m.pl.gen	short.pos.m.pl.dat	short.pos.m.pl.acc	short.pos.m.pl.ins	short.pos.m.pl.loc	short.pos.m.pl.voc	short.pos.f.sg.nom	short.pos.f.sg.gen	short.pos.f.sg.dat	short.pos.f.sg.acc	short.pos.f.sg.ins	short.pos.f.sg.loc	short.pos.f.sg.voc	short.pos.f.du.nom	short.pos.f.du.gen	short.pos.f.du.dat	short.pos.f.du.acc	short.pos.f.du.ins	short.pos.f.du.loc	short.pos.f.du.voc	short.pos.f.pl.nom	short.pos.f.pl.gen	short.pos.f.pl.dat	short.pos.f.pl.acc	short.pos.f.pl.ins	short.pos.f.pl.loc	short.pos.f.pl.voc	short.pos.n.sg.nom	short.pos.n.sg.gen	short.pos.n.sg.dat	short.pos.n.sg.acc	short.pos.n.sg.ins	short.pos.n.sg.loc	short.pos.n.sg.voc	short.pos.n.du.nom	short.pos.n.du.gen	short.pos.n.du.dat	short.pos.n.du.acc	short.pos.n.du.ins	short.pos.n.du.loc	short.pos.n.du.voc	short.pos.n.pl.nom	short.pos.n.pl.gen	short.pos.n.pl.dat	short.pos.n.pl.acc	short.pos.n.pl.ins	short.pos.n.pl.loc	short.pos.n.pl.voc	long.pos.m.sg.nom	long.pos.m.sg.gen	long.pos.m.sg.dat	long.pos.m.sg.acc	long.pos.m.sg.ins	long.pos.m.sg.loc	long.pos.m.sg.voc	long.pos.m.du.nom	long.pos.m.du.gen	long.pos.m.du.dat	long.pos.m.du.acc	long.pos.m.du.ins	long.pos.m.du.loc	long.pos.m.du.voc	long.pos.m.pl.nom	long.pos.m.pl.gen	long.pos.m.pl.dat	long.pos.m.pl.acc	long.pos.m.pl.ins	long.pos.m.pl.loc	long.pos.m.pl.voc	long.pos.f.sg.nom	long.pos.f.sg.gen	long.pos.f.sg.dat	long.pos.f.sg.acc	long.pos.f.sg.ins	long.pos.f.sg.loc	long.pos.f.sg.voc	long.pos.f.du.nom	long.pos.f.du.gen	long.pos.f.du.dat	long.pos.f.du.acc	long.pos.f.du.ins	long.pos.f.du.loc	long.pos.f.du.voc	long.pos.f.pl.nom	long.pos.f.pl.gen	long.pos.f.pl.dat	long.pos.f.pl.acc	long.pos.f.pl.ins	long.pos.f.pl.loc	long.pos.f.pl.voc	long.pos.n.sg.nom	long.pos.n.sg.gen	long.pos.n.sg.dat	long.pos.n.sg.acc	long.pos.n.sg.ins	long.pos.n.sg.loc	long.pos.n.sg.voc	long.pos.n.du.nom	long.pos.n.du.gen	long.pos.n.du.dat	long.pos.n.du.acc	long.pos.n.du.ins	long.pos.n.du.loc	long.pos.n.du.voc	long.pos.n.pl.nom	long.pos.n.pl.gen	long.pos.n.pl.dat	long.pos.n.pl.acc	long.pos.n.pl.ins	long.pos.n.pl.loc	long.pos.n.pl.voc
A:-:и	лꙋчии	1	1=base	1-и	1-иша	1-ишꙋ	1-и	1-ишемь	1-иши	1-и	1-иша	1-ишꙋ	1-ишема	1-иша	1-ишема	1-ишꙋ	1-иша	1-ише	1-ишь	1-ишемъ	1-ишѧ	1-иши	1-ишихъ	1-ише	1-иши	1-ишѧ	1-иши	1-ишѫ	1-ишеѭ	1-иши	1-иши	1-иши	1-ишꙋ	1-ишама	1-иши	1-ишама	1-ишꙋ	1-иши	1-ишѧ	1-ишь	1-ишамъ	1-ишѧ	1-ишами	1-ишахъ	1-ишѧ	1-ѥ	1-иша	1-ишꙋ	1-ѥ	1-ишемь	1-иши	1-ѥ	1-иши	1-ишꙋ	1-ишема	1-иши	1-ишема	1-ишꙋ	1-иши	1-иша	1-ишь	1-ишемъ	1-иша	1-иши	1-ишихъ	1-иша	1-и	1-ишаѥго	1-ишꙋѥмꙋ	1-и	1-ишиимь	1-ишиимь	1-и	1-ишаꙗ	1-ишꙋю	1-ишиима	1-ишаꙗ	1-ишиима	1-ишꙋю	1-ишаꙗ	1-ишеии	1-ишиихъ	1-ишиимъ	1-ишѧѩ	1-ишиими	1-ишиихъ	1-ишеии	1-ишиꙗ	1-ишѧѩ	1-ишии	1-ишѫѭ	1-ишеѭ	1-ишии	1-ишиꙗ	1-ишии	1-ишꙋю	1-ишиима	1-ишии	1-ишиима	1-ишꙋю	1-ишии	1-ишѧѩ	1-ишиихъ	1-ишиимъ	1-ишѧѩ	1-ишами	1-ишиихъ	1-ишѧѩ	1-ишеѥ	1-ишаѥго	1-ишꙋѥмꙋ	1-ишеѥ	1-ишиимь	1-ишиимь	1-ишеѥ	1-ишии	1-ишꙋю	1-ишиима	1-ишии	1-ишиима	1-ишꙋю	1-ишии	1-ишаꙗ	1-ишиихъ	1-ишиимъ	1-ишаꙗ	1-ишиими	1-ишиихъ	1-ишаꙗ
A:-:ъ	чистъ	1	1=base	1-ъ	1-а	1-ꙋ	1-ъ	1-омь	1-ѣ	1-ъ	1-а	1-ꙋ	1-ома	1-а	1-ома	1-ꙋ	1-а	1-и|1-ы	1-ъ	1-омъ	1-ы	1-ы	1-ѣхъ	1-и	1-а	1-ы	1-ѣ	1-ѫ	1-оѭ	1-ѣ	1-а	1-ѣ	1-ꙋ	1-ама	1-ѣ	1-ама	1-ꙋ	1-ѣ	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы	1-о	1-а	1-ꙋ	1-о	1-омь	1-ѣ	1-о	1-ѣ	1-ꙋ	1-ома	1-ѣ	1-ома	1-ꙋ	1-ѣ	1-а	1-ъ	1-омъ	1-а	1-ы	1-ѣхъ	1-а	1-ыи|1-ы	1-аѥго	1-ꙋѥмꙋ	1-ыи|1-ы	1-ыимь	1-ѣѥмь	1-ыи	1-аꙗ	1-ꙋю	1-ыима	1-аꙗ	1-ыима	1-ꙋю	1-аꙗ	1-ии	1-ыихъ	1-ыимъ	1-ыѩ	1-ыими	1-ыихъ	1-ии	1-аꙗ	1-ыѩ	1-ѣи	1-ѫѭ	1-ѫѭ	1-ѣи	1-аꙗ	1-ѣи	1-ꙋю	1-ыима	1-ѣи	1-ыима	1-ꙋю	1-ѣи	1-ыѩ	1-ыихъ	1-ыимъ	1-ыѩ	1-ыими	1-ыихъ	1-ыѩ	1-оѥ	1-аѥго	1-ꙋѥмꙋ	1-оѥ	1-ыимь	1-ѣѥмь	1-оѥ	1-ѣи	1-ꙋю	1-ыима	1-ѣи	1-ыима	1-ꙋю	1-ѣи	1-аꙗ	1-ыихъ	1-ыимъ	1-аꙗ	1-ыими	1-ыихъ	1-аꙗ
A:-:ь	вьсь	1	1=base	1-ь	1-его	1-емꙋ	1-ь	1-ѣмь	1-емь	1-ь	1-а	1-ꙋ	1-ема	1-а	1-ема	1-ꙋ	1-а	1-и	1-ь	1-емъ	1-ѧ	1-и	1-ихъ	1-и	1-ꙗ	1-ѧ	1-еи	1-ѭ	1-ѣмь	1-еи	1-а	1-и	1-ꙋ	1-ама	1-и	1-ама	1-ꙋ	1-и	1-ѧ	1-ь	1-амъ	1-ѧ	1-ами	1-ахъ	1-ѧ	1-е	1-его	1-емꙋ	1-е	1-ѣмь	1-емь	1-е	1-и	1-ꙋ	1-ема	1-и	1-ема	1-ꙋ	1-и	1-а	1-ь	1-емъ	1-а	1-и	1-ихъ	1-а	1-ии|1-и	1-аѥго	1-ꙋѥмꙋ	1-ии|1-и	1-иимь	1-иѥмь	1-ии	1-аꙗ	1-ꙋю	1-иима	1-аꙗ	1-иима	1-ꙋю	1-аꙗ	1-и	1-ѣхъ	1-ѣмъ	1-ѧ	1-ѣми	1-ѣхъ	1-ии	1-аꙗ	1-ѧѩ	1-ии	1-ѫѭ	1-еѭ	1-ии	1-аꙗ	1-ии	1-ꙋю	1-иима	1-ии	1-иима	1-ꙋю	1-ии	1-ѧ	1-ѣхъ	1-ѣмъ	1-ѧ	1-ѣми	1-ѣхъ	1-ѧѩ	1-еѥ	1-аѥго	1-ꙋѥмꙋ	1-еѥ	1-иимь	1-иѥмь	1-еѥ	1-ии	1-ꙋю	1-иима	1-ии	1-иима	1-ꙋю	1-ии	1-ꙗ	1-ѣхъ	1-ѣмъ	1-ꙗ	1-ѣми	1-ѣхъ	1-аꙗ
A:-k:ъ	дрꙋгъ	1	1=base;3=pal1;5=pal2	1-ъ	1-а	1-ꙋ	1-ъ	1-омь	5-ѣ	1-ъ	1-а	1-ꙋ	1-ома	1-а	1-ома	1-ꙋ	1-а	5-и|1-ы	1-ъ	1-омъ	1-ы	1-ы	5-ѣхъ	5-и	1-а	1-ы	5-ѣ	1-ѫ	1-оѭ	5-ѣ	1-а	5-ѣ	1-ꙋ	1-ама	5-ѣ	1-ама	1-ꙋ	5-ѣ	1-ы	1-ъ	1-амъ	1-ы	1-ами	1-ахъ	1-ы	1-о	1-а	1-ꙋ	1-о	1-омь	5-ѣ	1-о	5-ѣ	1-ꙋ	1-ома	5-ѣ	1-ома	1-ꙋ	5-ѣ	1-а	1-ъ	1-омъ	1-а	1-ы	5-ѣхъ	1-а	1-ыи|1-ы	1-аѥго	1-ꙋѥмꙋ	1-ыи|1-ы	1-ыимь	5-ѣѥмь	1-ыи	1-аꙗ	1-ꙋю	1-ыима	1-аꙗ	1-ыима	1-ꙋю	1-аꙗ	5-ии	1-ыихъ	1-ыимъ	1-ыѩ	1-ыими	1-ыихъ	5-ии	1-аꙗ	1-ыѩ	5-ѣи	1-ѫѭ	1-ѫѭ	5-ѣи	1-аꙗ	5-ѣи	1-ꙋю	1-ыима	5-ѣи	1-ыима	1-ꙋю	5-ѣи	1-ыѩ	1-ыихъ	1-ыимъ	1-ыѩ	1-ыими	1-ыихъ	1-ыѩ	1-оѥ	1-аѥго	1-ꙋѥмꙋ	1-оѥ	1-ыимь	5-ѣѥмь	1-оѥ	5-ѣи	1-ꙋю	1-ыима	5-ѣи	1-ыима	1-ꙋю	5-ѣи	1-аꙗ	1-ыихъ	1-ыимъ	1-аꙗ	1-ыими	1-ыихъ	1-аꙗ
A:o/a:и	шꙋи	1	1=base	1-и	1-ꙗ	1-ю	1-и	1-ѥмь	1-и	1-и	1-ꙗ	1-ю	1-ѥма	1-ꙗ	1-ѥма	1-ю	1-ꙗ	1-и	1-и	1-ѥмъ	1-ѩ	1-и	1-ихъ	1-и	1-ꙗ	1-ѩ	1-и	1-ѭ	1-ѥѭ	1-и	1-ꙗ	1-и	1-ю	1-ꙗма	1-и	1-ꙗма	1-ю	1-и	1-ѩ	1-и	1-ꙗмъ	1-ѩ	1-ꙗми	1-ꙗхъ	1-ѩ	1-ѥ	1-ꙗ	1-ю	1-ѥ	1-ѥмь	1-и	1-ѥ	1-и	1-ю	1-ѥма	1-и	1-ѥма	1-ю	1-и	1-ꙗ	1-и	1-ѥмъ	1-ꙗ	1-и	1-ихъ	1-ꙗ	1-ии|1-и	1-аѥго	1-ꙋѥмꙋ	1-ии|1-и	1-иимь	1-иѥмь	1-ии	1-аꙗ	1-ꙋю	1-иима	1-аꙗ	1-иима	1-ꙋю	1-аꙗ	1-ии	1-иихъ	1-иимъ	1-ѧѩ	1-иими	1-иихъ	1-ии	1-аꙗ	1-ѧѩ	1-ии	1-ѫѭ	1-еѭ	1-ии	1-аꙗ	1-ии	1-ꙋю	1-иима	1-ии	1-иима	1-ꙋю	1-ии	1-ѧѩ	1-иихъ	1-иимъ	1-ѧѩ	1-иими	1-иихъ	1-ѧѩ	1-еѥ	1-аѥго	1-ꙋѥмꙋ	1-еѥ	1-иимь	1-иѥмь	1-еѥ	1-ии	1-ꙋю	1-иима	1-ии	1-иима	1-ꙋю	1-ии	1-аꙗ	1-иихъ	1-иимъ	1-аꙗ	1-иими	1-иихъ	1-аꙗ
A:o/a:ь	маломощь	1	1=base	1-ь	1-а	1-ꙋ	1-ь	1-емь	1-и	1-ь	1-а	1-ꙋ	1-ема	1-а	1-ема	1-ꙋ	1-а	1-и	1-ь	1-емъ	1-ѧ	1-и	1-ихъ	1-и	1-а	1-ѧ	1-и	1-ѫ	1-еѭ	1-и	1-а	1-и	1-ꙋ	1-ама	1-и	1-ама	1-ꙋ	1-и	1-ѧ	1-ь	1-амъ	1-ѧ	1-ами	1-ахъ	1-ѧ	1-е	1-а	1-ꙋ	1-е	1-емь	1-и	1-е	1-и	1-ꙋ	1-ема	1-и	1-ема	1-ꙋ	1-и	1-а	1-ь	1-емъ	1-а	1-и	1-ихъ	1-а	1-ии|1-и	1-аѥго	1-ꙋѥмꙋ	1-ии|1-и	1-иимь	1-иѥмь	1-ии	1-аꙗ	1-ꙋю	1-иима	1-аꙗ	1-иима	1-ꙋю	1-аꙗ	1-ии	1-иихъ	1-иимъ	1-ѧѩ	1-иими	1-иихъ	1-ии	1-аꙗ	1-ѧѩ	1-ии	1-ѫѭ	1-еѭ	1-ии	1-аꙗ	1-ии	1-ꙋю	1-иима	1-ии	1-иима	1-ꙋю	1-ии	1-ѧѩ	1-иихъ	1-иимъ	1-ѧѩ	1-иими	1-иихъ	1-ѧѩ	1-еѥ	1-аѥго	1-ꙋѥмꙋ	1-еѥ	1-иимь	1-иѥмь	1-еѥ	1-ии	1-ꙋю	1-иима	1-ии	1-иима	1-ꙋю	1-ии	1-аꙗ	1-иихъ	1-иимъ	1-аꙗ	1-иими	1-иихъ	1-аꙗ
