id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
исповѣднически.x.2	и҆сповѣ́днически	x	-	-	adv	a	-	-	-	P:-	adv
исповѣдꙋемѡ.x.2	и҆сповѣ́дꙋемѡ	x	-	-	adv	a	-	-	-	P:-	adv
исполꙋ.x.2	и҆́сполꙋ	x	-	-	adv	a	-	-	-	P:-	adv
испытательнѣ.x.2	и҆спыта́тельнѣ	x	-	-	adv	a	-	-	-	P:-	adv
истиннолюбнѡ.x.2	и҆стиннолю́бнѡ	x	-	-	adv	a	-	-	-	P:-	adv
источникоподобнѣ.x.2	и҆сточникоподо́бнѣ	x	-	-	adv	a	-	-	-	P:-	adv
каждогоднѡ.x.2	каждого́днѡ	x	-	-	adv	a	-	-	-	P:-	adv
какоже.x.2	ка́коже	x	-	-	advpro	a	-	-	-	P:-	advpro
какъ.x.2	ка́къ	x	-	-	adv	a	-	-	-	P:-	adv
какѡ.x.2	ка́кѡ	x	-	-	advpro	a	-	-	word=ка́ко	P:-	advpro
какѡлибо.x.2	ка́кѡлибо	x	-	-	advpro	a	-	-	-	P:-	advpro
камѡ.x.2	ка́мѡ	x	-	-	advpro	a	-	-	-	P:-	advpro
когда.x.2	когда̀	x	-	-	advpro	a	-	-	-	P:-	advpro
когдабъ.x	когда́бъ	x	-	-	adv	a	-	-	-	P:-	adv
когдалибо.x.2	когда́либо	x	-	-	advpro	a	-	-	-	P:-	advpro
колиждо.x	коли́ждо	x	-	-	advpro	a	-	-	word=коли́жды	P:-	advpro
коликащи.x.2	коли́кащи	x	-	-	advpro	a	-	-	-	P:-	advpro
коликощи.x.2	коли́кощи	x	-	-	advpro	a	-	-	-	P:-	advpro
коликѡ.x.2	коли́кѡ	x	-	-	advpro	a	-	-	-	P:-	advpro
коль.x.2	ко́ль	x	-	-	adv	a	-	-	-	P:-	adv
колькраты.x.2	колькра́ты	x	-	-	adv	a	-	-	-	P:-	adv
кольми.x.2	кольмѝ	x	-	-	adv	a	-	-	word=ко́льми|колмѝ	P:-	adv
колѣнопреклоненнѡ.x.2	колѣнопреклоне́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
корчемнѣ.x.2	корче́мнѣ	x	-	-	adv	a	-	-	-	P:-	adv
косвеннѡ.x.2	ко́свеннѡ	x	-	-	adv	a	-	-	-	P:-	adv
косненнѡ.x.2	ко́сненнѡ	x	-	-	adv	a	-	-	-	P:-	adv
кощꙋннѡ.x.2	кощꙋ́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
крайнѣ.x.2	кра́йнѣ	x	-	-	adv	a	-	-	-	P:-	adv
