id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
сицевъ.pron	сице́въ	pron	m	-	PN	b	-	m.sg.voc=сице́въ;m.pl.nom=сицевѝ;m.pl.dat=сицевы̑мъ;m.pl.ins=сицевы́ми;m.pl.voc=сицевѝ;f.sg.nom=сицевы̀;f.sg.ins=сицево́ю;f.sg.voc=сицевы̀;f.pl.dat=сицевы̑мъ;f.pl.ins=сицевы́ми;n.pl.dat=сицевы̑мъ;n.pl.ins=сицевы́ми	m.sg.nom=сицевѣ́й;m.sg.acc=сицевѣ́й;m.sg.voc=сицевѣ́й;m.du.nom=сицева̑|сицєва̑;m.du.acc=сицева̑|сицєва̑;m.du.voc=сицева̑|сицєва̑;m.pl.gen=си́цевыхъ|сицєвы́хъ;m.pl.dat=сицєвымъ;m.pl.loc=си́цевыхъ|сицєвы́хъ;f.pl.gen=си́цевыхъ|сицєвы́хъ;f.pl.dat=сицєвымъ;f.pl.loc=си́цевыхъ|сицєвы́хъ;n.pl.nom=сицева̑|сицєва̑;n.pl.gen=си́цевыхъ|сицєвы́хъ;n.pl.dat=сицєвымъ;n.pl.acc=сицева̑|сицєва̑;n.pl.loc=си́цевыхъ|сицєвы́хъ;n.pl.voc=сицева̑|сицєва̑	A:§48	-
таковъ.pron	тако́въ	pron	m	-	PN	b	-	m.sg.voc=тако́въ;m.du.nom=такова̑;m.du.acc=такова̑;m.du.voc=такова̑;m.pl.nom=таковѝ;m.pl.dat=таковы̑мъ;m.pl.acc=таковы̑;m.pl.ins=таковы́ми;m.pl.voc=таковѝ;f.sg.ins=таково́ю;f.pl.nom=таковы̑;f.pl.dat=таковы̑мъ;f.pl.acc=таковы̑;f.pl.ins=таковы́ми;f.pl.voc=таковы̑;n.pl.nom=такова̑;n.pl.dat=таковы̑мъ;n.pl.acc=такова̑;n.pl.ins=таковы́ми;n.pl.voc=такова̑	m.sg.nom=таковѣ́й;m.sg.gen=такѡва̀;m.sg.acc=таковѣ́й|такѡва̀;m.sg.ins=такѡ́вымъ|такѡвы́мъ;m.sg.voc=таковѣ́й;m.pl.ins=тако́выми;f.sg.nom=такѡвы̀|такѡва̀;f.sg.voc=такѡвы̀|такѡва̀;f.pl.ins=тако́выми;n.sg.gen=такѡва̀;n.sg.ins=такѡ́вымъ|такѡвы́мъ;n.pl.ins=тако́выми	A:§48	-
такій.pron	такі́й	pron	m	-	PA1tk	b{m.sg.ins=S;m.pl.dat=S;f.pl.dat=S;n.sg.ins=S;n.pl.dat=S}	-	m.sg.loc=та́цѣмъ;m.pl.nom=та́цы;m.pl.voc=та́цы;n.sg.loc=та́цѣмъ	m.pl.dat=тацѣ̑мъ;f.pl.dat=тацѣ̑мъ;n.pl.dat=тацѣ̑мъ	A:§48;P:PA1k	-
твой.pron	тво́й	pron	m	-	PA1a	b{m.sg.gen=2;m.sg.dat=2;f.sg.gen=2;n.sg.gen=2;n.sg.dat=2}	-	m.du.nom=твоѧ̑;m.du.acc=твоѧ̑;m.du.voc=твоѧ̑;m.pl.dat=твои̑мъ;m.pl.acc=твоѧ̑;f.pl.nom=твоѧ̑;f.pl.dat=твои̑мъ;f.pl.acc=твоѧ̑;f.pl.voc=твоѧ̑;n.pl.nom=твоѧ̑;n.pl.dat=твои̑мъ;n.pl.acc=твоѧ̑;n.pl.voc=твоѧ̑	m.sg.gen=твоєгѡ̀|твоегѡ;m.sg.dat=твоемꙋ;m.sg.acc=твоего̀;m.pl.nom=твои;m.pl.voc=твои;f.sg.acc=твою;n.sg.gen=твоєгѡ̀|твоегѡ;n.sg.dat=твоемꙋ	A:§48;P:PA2a	-
той.pron	то́й	pron	m	-	PA1t	a{m.sg.gen=1;m.sg.dat=1;f.sg.gen=1;n.sg.gen=1;n.sg.dat=1}	-	m.pl.acc=ты̑ѧ;f.sg.nom=та̀;f.sg.voc=та̀;f.du.nom=та̑;f.du.acc=та̑;f.du.voc=та̑;n.sg.nom=то̀;n.sg.acc=то̀;n.sg.voc=то̀;n.du.nom=та̑;n.du.acc=та̑;n.du.voc=та̑;n.pl.nom=та̑;n.pl.acc=та̑;n.pl.voc=та̑	m.sg.nom=то́тъ;m.sg.acc=того̀|то́тъ;m.sg.voc=то́тъ;m.du.gen=тѡ́ю;m.du.loc=тѡ́ю;m.pl.nom=тѣ̀|ти;m.pl.gen=ты́хъ;m.pl.dat=ты̑мъ;m.pl.acc=ты́и|тѣ́хъ;m.pl.loc=ты́хъ;m.pl.voc=тѣ̀|ти;f.sg.gen=то́ѧ;f.du.gen=тѡ́ю;f.du.loc=тѡ́ю;f.pl.nom=ты́и|ты́ѧ;f.pl.gen=ты́хъ;f.pl.dat=ты̑мъ;f.pl.acc=ты́и|тѣ́хъ|ты́ѧ;f.pl.loc=ты́хъ;f.pl.voc=ты́и|ты́ѧ;n.du.gen=тѡ́ю;n.du.loc=тѡ́ю;n.pl.gen=ты́хъ;n.pl.dat=ты̑мъ;n.pl.loc=ты́хъ	A:§48;P:PA2t	-
тойжде.pron	то́йжде	pron	m	-	PA1t	a{m.sg.gen=1;m.sg.dat=1;f.sg.gen=1;n.sg.gen=1;n.sg.dat=1}	encl=жде	m.du.gen=тѡ́южде;m.du.loc=тѡ́южде;m.pl.acc=ты̑ѧжде;f.sg.nom=та́жде;f.sg.voc=та́жде;f.du.gen=тѡ́южде;f.du.loc=тѡ́южде;n.sg.nom=то́жде;n.sg.acc=то́жде;n.sg.voc=то́жде;n.du.gen=тѡ́южде;n.du.loc=тѡ́южде;n.pl.nom=та̑жде;n.pl.acc=та̑жде;n.pl.voc=та̑жде	m.sg.acc=того́жде;f.sg.ins=то́еюжде;n.sg.nom=тожде;n.sg.acc=тожде;n.sg.voc=тожде	A:§48;P:PA2t	-
тойже.pron	то́йже	pron	m	-	PA1t	a{m.sg.gen=1;m.sg.dat=1;f.sg.gen=1;n.sg.gen=1;n.sg.dat=1}	encl=же	m.pl.nom=тѣ́же;m.pl.acc=ты̑ѧже;m.pl.voc=тѣ́же;f.sg.nom=та́же;f.sg.voc=та́же;f.du.nom=та̑же;f.du.acc=та̑же;f.du.voc=та̑же;n.sg.nom=то́же;n.sg.acc=то́же;n.sg.voc=то́же;n.du.nom=та̑же;n.du.acc=та̑же;n.du.voc=та̑же;n.pl.nom=та̑же;n.pl.acc=та̑же;n.pl.voc=та̑же	m.sg.gen=тогѡ́жъ;m.sg.dat=томꙋ́жъ;m.sg.acc=того́же;m.sg.ins=тѣ́мъже;f.sg.gen=то́ѧже;n.sg.nom=тѡ́же;n.sg.gen=тогѡ́жъ;n.sg.dat=томꙋ́жъ;n.sg.acc=тѡ́же;n.sg.ins=тѣ́мъже;n.sg.voc=тѡ́же	A:§48	-
толикъ.pron	толи́къ	pron	m	-	PA1n	a	-	m.sg.gen=толи́ка;m.sg.acc=толи́ка;m.sg.ins=толи́цѣмъ;m.du.dat=толи́цѣма;m.du.ins=толи́цѣма;m.pl.nom=толи́цы;m.pl.gen=толи́цѣхъ;m.pl.dat=толи̑цѣмъ;m.pl.acc=толи̑ки;m.pl.ins=толи́цѣми;m.pl.loc=толи́цѣхъ;m.pl.voc=толи́цы;f.du.nom=толи́цѣ;f.du.dat=толи́цѣма;f.du.acc=толи́цѣ;f.du.ins=толи́цѣма;f.du.voc=толи́цѣ;f.pl.nom=толи̑ки;f.pl.gen=толи́цѣхъ;f.pl.dat=толи̑цѣмъ;f.pl.acc=толи̑ки;f.pl.ins=толи́цѣми;f.pl.loc=толи́цѣхъ;f.pl.voc=толи̑ки;n.sg.gen=толи́ка;n.sg.ins=толи́цѣмъ;n.du.nom=толи́цѣ;n.du.dat=толи́цѣма;n.du.acc=толи́цѣ;n.du.ins=толи́цѣма;n.du.voc=толи́цѣ;n.pl.gen=толи́цѣхъ;n.pl.dat=толи̑цѣмъ;n.pl.ins=толи́цѣми;n.pl.loc=толи́цѣхъ	m.sg.dat=толи́кꙋ;m.sg.loc=толи́цѣмъ;m.pl.acc=толи́ки;f.sg.dat=толи́цѣ;f.sg.loc=толи́цѣ;f.pl.nom=толи́ки;f.pl.acc=толи́ки;f.pl.voc=толи́ки;n.sg.dat=толи́кꙋ;n.sg.loc=толи́цѣмъ	A:§48;P:PA1k	-
ты.pron	ты̀	pron	-	-	PPty	b	1=теб;2=тоб;3=т	-	2.sg.gen=тебѐ	A:§47;P:PNty;A:p047	personal
что.pron	что̀	pron	m	-	PPcto	a{m.sg.gen=1;m.sg.dat=2;m.sg.loc=1}	1=ч	m.sg.gen=чесѡ̀;m.sg.dat=чесомꙋ̀;m.sg.loc=чесо́мъ	m.sg.gen=чесо̀|чесогѡ̀;m.sg.dat=чесо́мꙋ;m.sg.acc=чесо̀;m.sg.ins=чесово́мъ|чѣ́мъ;m.sg.loc=че́сомъ;f.sg.nom=что̀;n.sg.nom=что̀;f.sg.gen=чегѡ̀|чесѡ̀|чесогѡ̀;n.sg.gen=чегѡ̀|чесѡ̀|чесогѡ̀;f.sg.dat=чемꙋ̀|чесомꙋ̀;n.sg.dat=чемꙋ̀|чесомꙋ̀;f.sg.acc=что̀|чесо̀;n.sg.acc=что̀|чесо̀;f.sg.ins=чи́мъ;n.sg.ins=чи́мъ;f.sg.loc=че́мъ|чесо́мъ;n.sg.loc=че́мъ|чесо́мъ	A:§48;P:PNcto;A:p048	-
чтоже.pron	что́же	pron	m	-	PPcto	a{m.sg.gen=1;m.sg.dat=2}	encl=же;1=ч	m.sg.dat=чесомꙋ́же;m.sg.ins=чесо́мже	m.sg.gen=чесо́же|чесогѡ́же	A:§48	-
чій.pron	чі́й	pron	m	-	PA1a	b{m.sg.gen=2;m.sg.ins=S;f.sg.gen=2;n.sg.gen=2;n.sg.ins=S}	-	m.sg.dat=чїю̀;m.sg.acc=чїѧ̀;m.pl.dat=чїи̑мъ;f.pl.dat=чїи̑мъ;n.sg.dat=чїю̀;n.pl.dat=чїи̑мъ	m.sg.gen=чїѧ̀;n.sg.gen=чїѧ̀	A:§48;P:PA2a	-
ꙗковъ.pron	ꙗ҆ко́въ	pron	m	-	PN	b{m.pl.nom=0;m.pl.voc=0}	-	m.sg.gen=ꙗ҆кѡва̀;m.sg.ins=ꙗ҆кѡвы́мъ;m.sg.voc=ꙗ҆́ковъ;m.du.nom=ꙗ҆кова̑;m.du.acc=ꙗ҆кова̑;m.du.voc=ꙗ҆кова̑;m.pl.nom=ꙗ҆́кови;m.pl.acc=ꙗ҆ковы̑;m.pl.ins=ꙗ҆ковы́ми;m.pl.voc=ꙗ҆́кови;f.sg.nom=ꙗ҆кѡва̀;f.sg.voc=ꙗ҆кѡва̀;f.pl.nom=ꙗ҆ковы̑;f.pl.acc=ꙗ҆ковы̑;f.pl.ins=ꙗ҆ковы́ми;f.pl.voc=ꙗ҆ковы̑;n.sg.gen=ꙗ҆кѡва̀;n.sg.ins=ꙗ҆кѡвы́мъ;n.pl.nom=ꙗ҆кова̑;n.pl.acc=ꙗ҆кова̑;n.pl.ins=ꙗ҆ковы́ми;n.pl.voc=ꙗ҆кова̑	m.sg.nom=ꙗ҆́ковъ;m.sg.acc=ꙗ҆́ковъ|ꙗ҆кѡва̀;m.sg.voc=ꙗ҆ко́въ;m.pl.nom=ꙗ҆ковѝ;m.pl.voc=ꙗ҆ковѝ;f.sg.nom=ꙗ҆кѡвы̀;f.sg.voc=ꙗ҆кѡвы̀	A:§48	-
ꙗковыйже.pron	ꙗ҆ковы́йже	pron	m	-	PA1t	b	encl=же	m.sg.nom=ꙗ҆ковы́йже;m.sg.gen=ꙗ҆кова́же;m.sg.acc=ꙗ҆кова́же;f.sg.nom=ꙗ҆кова́же;f.sg.voc=ꙗ҆кова́же;n.sg.nom=ꙗ҆ково́же;n.sg.gen=ꙗ҆кова́же;n.sg.acc=ꙗ҆ково́же;n.sg.voc=ꙗ҆ково́же;n.pl.nom=ꙗ҆кова̑же;n.pl.acc=ꙗ҆кова̑же;n.pl.voc=ꙗ҆кова̑же	-	A:§48	-
ꙗкій.pron	ꙗ҆кі́й	pron	m	-	PA1tk	a{sg=E}	-	m.sg.loc=ꙗ҆цѣ́мъ;m.pl.nom=ꙗ҆́цы;m.pl.voc=ꙗ҆́цы;n.sg.loc=ꙗ҆цѣ́мъ	m.pl.gen=ꙗ҆цѣ́хъ;m.pl.loc=ꙗ҆цѣ́хъ;f.pl.gen=ꙗ҆цѣ́хъ;f.pl.loc=ꙗ҆цѣ́хъ;n.pl.gen=ꙗ҆цѣ́хъ;n.pl.loc=ꙗ҆цѣ́хъ	A:§48;P:PA1k	-
ꙗкійже.pron	ꙗ҆кі́йже	pron	m	-	PA1tk	b	encl=же	m.sg.loc=ꙗ҆цѣ́мже;n.sg.loc=ꙗ҆цѣ́мже	-	A:§48	-
