# Pronoun letter classes: the pronominal adjectives (legend table 5, short columns)
# and the personal pronouns (table 6; their stems are on the lexeme line: stems=1=мен;2=мн).
class	exemplar	strip	stems	m.sg.nom	m.sg.gen	m.sg.dat	m.sg.acc	m.sg.ins	m.sg.loc	m.sg.voc	m.du.nom	m.du.gen	m.du.dat	m.du.acc	m.du.ins	m.du.loc	m.du.voc	m.pl.nom	m.pl.gen	m.pl.dat	m.pl.acc	m.pl.ins	m.pl.loc	m.pl.voc	f.sg.nom	f.sg.gen	f.sg.dat	f.sg.acc	f.sg.ins	f.sg.loc	f.sg.voc	f.du.nom	f.du.gen	f.du.dat	f.du.acc	f.du.ins	f.du.loc	f.du.voc	f.pl.nom	f.pl.gen	f.pl.dat	f.pl.acc	f.pl.ins	f.pl.loc	f.pl.voc	n.sg.nom	n.sg.gen	n.sg.dat	n.sg.acc	n.sg.ins	n.sg.loc	n.sg.voc	n.du.nom	n.du.gen	n.du.dat	n.du.acc	n.du.ins	n.du.loc	n.du.voc	n.pl.nom	n.pl.gen	n.pl.dat	n.pl.acc	n.pl.ins	n.pl.loc	n.pl.voc	1.sg.nom	1.sg.gen	1.sg.acc	1.sg.dat	1.sg.loc	1.sg.ins	clit.1.sg.acc	clit.1.sg.dat	1.sg.voc	2.sg.nom	2.sg.gen	2.sg.acc	2.sg.dat	2.sg.loc	2.sg.ins	clit.2.sg.acc	clit.2.sg.dat	2.sg.voc	gen	acc	dat	loc	ins	clit.acc	clit.dat	1.pl.nom	1.pl.gen	1.pl.acc	1.pl.dat	1.pl.loc	1.pl.ins	clit.1.pl.acc	1.du.nom	1.du.acc	1.du.gen	1.du.loc	1.du.dat	1.du.ins	1.pl.voc	1.du.voc	2.pl.nom	2.pl.gen	2.pl.acc	2.pl.dat	2.pl.loc	2.pl.ins	clit.2.pl.acc	2.du.nom	2.du.acc	2.du.gen	2.du.loc	2.du.dat	2.du.ins	2.pl.voc	2.du.voc	3.m.sg.nom	3.m.sg.gen	3.m.sg.dat	3.m.sg.acc	3.m.sg.ins	3.m.sg.loc	3.m.sg.voc	3.m.du.nom	3.m.du.gen	3.m.du.dat	3.m.du.acc	3.m.du.ins	3.m.du.loc	3.m.du.voc	3.m.pl.nom	3.m.pl.gen	3.m.pl.dat	3.m.pl.acc	3.m.pl.ins	3.m.pl.loc	3.m.pl.voc	clit.3.m.sg.acc	clit.3.m.du.acc	clit.3.m.pl.acc	3.f.sg.nom	3.f.sg.gen	3.f.sg.dat	3.f.sg.acc	3.f.sg.ins	3.f.sg.loc	3.f.sg.voc	3.f.du.nom	3.f.du.gen	3.f.du.dat	3.f.du.acc	3.f.du.ins	3.f.du.loc	3.f.du.voc	3.f.pl.nom	3.f.pl.gen	3.f.pl.dat	3.f.pl.acc	3.f.pl.ins	3.f.pl.loc	3.f.pl.voc	clit.3.f.sg.acc	clit.3.f.du.acc	clit.3.f.pl.acc	3.n.sg.nom	3.n.sg.gen	3.n.sg.dat	3.n.sg.acc	3.n.sg.ins	3.n.sg.loc	3.n.sg.voc	3.n.du.nom	3.n.du.gen	3.n.du.dat	3.n.du.acc	3.n.du.ins	3.n.du.loc	3.n.du.voc	3.n.pl.nom	3.n.pl.gen	3.n.pl.dat	3.n.pl.acc	3.n.pl.ins	3.n.pl.loc	3.n.pl.voc	clit.3.n.sg.acc	clit.3.n.du.acc	clit.3.n.pl.acc
PN	таковъ	1	1=base;2=base	2-ъ	1-а	1-ꙋ	@m.sg.nom|1-а	1-ымъ	1-ѣ	1-е	1-а^	1-ꙋ^	@m.du.dat	1-а^	@m.du.ins	1-ꙋ^	@m.du.nom	1-ы^|1-и	1-ыхъ	1-ымъ^	1-ы^	1-ы^|1-ыми	1-ыхъ	@m.pl.nom	1-а|1-ы	1-ы	1-ѣ	1-ꙋ	@f.sg.ins	1-ѣ	@f.sg.nom	1-ѣ^	1-ꙋ^	@f.du.dat	1-ѣ^	@f.du.ins	1-ꙋ^	@f.du.nom	1-ы^	1-ыхъ	1-ымъ^	1-ы^	1-ы^|1-ыми	1-ыхъ	@f.pl.nom	1-о	1-а	1-ꙋ	1-о	1-ымъ	1-ѣ	@n.sg.nom	1-ѣ^	1-ꙋ^	@n.du.dat	1-ѣ^	@n.du.ins	1-ꙋ^	@n.du.nom	1-а^	1-ыхъ	1-ымъ^	1-а^	1-ы^|1-ыми	1-ыхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PNk	всякъ	1	1=base;2=base;5=pal2	2-ъ	1-а	1-ꙋ	@m.sg.nom|1-а	5-ымъ	5-ѣ	1-е	1-а^	1-ꙋ^	@m.du.dat	1-а^	@m.du.ins	1-ꙋ^	@m.du.nom	5-ы^|1-и	5-ыхъ	5-ымъ^	5-ы^	5-ы^|1-ыми	5-ыхъ	@m.pl.nom	1-а|1-ы	5-ы	5-ѣ	1-ꙋ	@f.sg.ins	5-ѣ	@f.sg.nom	5-ѣ^	1-ꙋ^	@f.du.dat	5-ѣ^	@f.du.ins	1-ꙋ^	@f.du.nom	5-ы^	5-ыхъ	5-ымъ^	5-ы^	5-ы^|1-ыми	5-ыхъ	@f.pl.nom	1-о	1-а	1-ꙋ	1-о	5-ымъ	5-ѣ	@n.sg.nom	5-ѣ^	1-ꙋ^	@n.du.dat	5-ѣ^	@n.du.ins	1-ꙋ^	@n.du.nom	1-а^	5-ыхъ	5-ымъ^	1-а^	5-ы^|1-ыми	5-ыхъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPja	азъ:мен,мн,м	0	1=base;2=base;3=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	@lemma	1-е^	1-е	2-ѣ	2-ѣ	2-ою	3-ѧ	3-и	@1.sg.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPty	ты:теб,тоб,т	0	1=base;2=base;3=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	@lemma	1-е^	1-е	1-ѣ	1-ѣ	2-ою	3-ѧ	3-и	@2.sg.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPseb	себе:себ,соб,с	0	1=base;2=base;3=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-е^	1-е	1-ѣ	1-ѣ	2-ою	3-ѧ	3-и	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPmy	мы:м,н	0	1=base;2=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-ы	2-асъ^	2-асъ	2-амъ	2-асъ	2-ами	2-ы	1-ы	2-ы	2-аю^	2-аю	2-ама	2-ама	@1.pl.nom	@1.du.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPvy	вы:в	0	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-ы	1-асъ^	1-асъ	1-амъ	1-асъ	1-ами	1-ы	1-ы	1-ы	1-аю^	1-аю	1-ама	1-ама	@2.pl.nom	@2.du.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPkto	кто:к	0	1=base	1-то	1-ого^	1-омꙋ	1-ого	1-имъ	1-омъ	@m.sg.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PPcto	что:ч	0	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-то	1-его^|1-есо^|1-есого^	1-емꙋ|1-есомꙋ	1-то	1-имъ	1-емъ|1-есомъ	@n.sg.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PP3	онъ	3	1=base	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-онъ	1-его^	1-емꙋ|1-немꙋ	1-его|1-него	1-имъ|1-нимъ	1-немъ|1-емъ	@3.m.sg.nom	1-она	1-нею|1-ею	1-има|1-нима	1-ѧ|1-нѧ	1-има|1-нима	1-нею|1-ею	@3.m.du.nom	1-они	1-ихъ|1-нихъ	1-имъ|1-нимъ	1-ихъ|1-нихъ|1-нѧ	1-ими|1-ними	1-нихъ|1-ихъ	@3.m.pl.nom	1-и	1-ѧ	1-ѧ	1-она	1-еѧ|1-ее|1-неѧ	1-ей|1-ней	1-ю|1-ню	1-ею|1-нею	1-ней	@3.f.sg.nom	1-онѣ	1-нею|1-ею	1-има|1-нима	1-ѧ|1-нѧ	1-има|1-нима	1-нею|1-ею	@3.f.du.nom	1-онѣ	1-ихъ|1-нихъ	1-имъ|1-нимъ	1-ихъ|1-нихъ|1-нѧ	1-ими|1-ними	1-нихъ|1-ихъ	@3.f.pl.nom	1-ю	1-ѧ	1-ѧ	1-оно	1-его^	1-емꙋ|1-немꙋ	1-е	1-имъ|1-нимъ	1-немъ|1-емъ	@3.n.sg.nom	1-онѣ	1-нею|1-ею	1-има|1-нима	1-ѧ|1-нѧ	1-има|1-нима	1-нею|1-ею	@3.n.du.nom	1-они	1-ихъ|1-нихъ	1-имъ|1-нимъ	1-ѧ|1-нѧ	1-ими|1-ними	1-нихъ|1-ихъ	@3.n.pl.nom	1-е	1-ѧ	1-ѧ
PPize	иже	3	1=base	1-и	1-его^	1-емꙋ|1-немꙋ	1-его|1-него	1-имъ|1-нимъ	1-немъ|1-емъ	@m.sg.nom	1-ꙗ	1-нею|1-ею	1-има|1-нима	1-ѧ|1-нѧ	1-има|1-нима	1-нею|1-ею	@m.du.nom	1-и	1-ихъ|1-нихъ	1-имъ|1-нимъ	1-ихъ|1-нихъ|1-нѧ	1-ими|1-ними	1-нихъ|1-ихъ	@m.pl.nom	1-ꙗ	1-еѧ|1-ее|1-неѧ	1-ей|1-ней	1-ю|1-ню	1-ею|1-нею	1-ней	@f.sg.nom	1-и	1-нею|1-ею	1-има|1-нима	1-ѧ|1-нѧ	1-има|1-нима	1-нею|1-ею	@f.du.nom	1-ꙗ	1-ихъ|1-нихъ	1-имъ|1-нимъ	1-ихъ|1-нихъ|1-нѧ	1-ими|1-ними	1-нихъ|1-ихъ	@f.pl.nom	1-е	1-его^	1-емꙋ|1-немꙋ	1-е	1-имъ|1-нимъ	1-немъ|1-емъ	@n.sg.nom	1-и	1-нею|1-ею	1-има|1-нима	1-ѧ|1-нѧ	1-има|1-нима	1-нею|1-ею	@n.du.nom	1-ꙗ	1-ихъ|1-нихъ	1-имъ|1-нимъ	1-ѧ|1-нѧ	1-ими|1-ними	1-нихъ|1-ихъ	@n.pl.nom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
