source_row	lemma	class	class_four_basic_stem
798	въскыпѣти	2	-
799	въскыснѫти	5	-
800	въскысѣти	7	-
801	въслан҄ꙗти	7	-
802	въславити	1	-
803	въсладити	1	-
805	въслѣдовати	6	-
806	въслѣдьствовати	6	-
811	гобьѕевати	6	-
813	гобьѕити	1	-
814	гобьѕьствовати	6	-
815	говорити	1	-
820	говѣти	7	-
823	годити	1	-
830	гонажати	7	-
831	гонезнѫти	5	-
833	гонити	1	-
834	гонозити	1	-
835	гонѣти	7	-
840	горѣти	2	-
855	гостити	1	-
858	готовати	7	-
860	въсмръдѣти	2	-
861	въспл҄юнѫти	5	-
863	въспитѣти	7	-
864	въсплакати	3	-
865	въспланѫти	5	-
867	въсплескати	3	-
868	въсплищевати	6	-
870	въспоминати	7	-
871	въспомѧнѫти	5	-
875	въспросити	1	-
876	въспрѣтити	1	-
877	въспрѣщати	7	-
879	въспрѧнѫти	5	-
880	въспрѧтати	7	-
881	въспустити	1	-
882	въспущати	7	-
883	въспытати	7	-
884	въспѣвати	7	-
887	въстаꙗти	3	-
888	въставл҄ꙗти	7	-
890	въставати	7	-
892	въставити	1	-
897	въстенати	3	-
898	въстирати	7	-
899	въстѫжити	1	-
900	въстѫпати	7	-
901	въстлапити	1	-
905	въстрепетати	3	-
906	въстрѫбити	1	-
907	въстръгати	7	-
908	въстръгнѫти	5	-
910	въстрѧсти	4c	възтрѧс
911	въстъкнѫти	5	-
913	въстѧѕати	7	-
914	въстѧгнѫти	5	-
915	въсхвалити	1	-
916	въсхватити	1	-
918	въсхлѫпати	7	-
920	въсходити	1	-
923	въсхытати	7	-
924	въсхытити	1	-
925	въсхыщати	7	-
928	въсълати	3	-
929	въсын҄ꙗти	7	-
931	въсылати	7	-
932	въсыпати	3	-
933	въсѣꙗти	3	-
934	въсѣл҄ꙗти	7	-
936	въсѣти	4v	-
941	вътрътърати	7	-
943	въходити	1	-
946	въцѣсар҄ити	1	-
947	въчин҄ꙗти	7	-
948	въчинити	1	-
951	въчловѣчити	1	-
954	въшумѣти	2	-
959	выгонити	1	-
961	выкнѫти	5	-
962	вынести	4c	вынес
963	выринѫти	5	-
971	вьрѣти	2	-
982	вѣꙗти	3	-
990	вѣнити	1	-
992	вѣньчати	7	-
994	вѣрити	1	-
995	вѣровати	6	-
998	вѣрьствовати	6	-
1010	вѣщавати	7	-
1012	вѣщати	7	-
1014	вѧзати	3	-
1019	гасити	1	-
1020	гаснѫти	5	-
1031	глаголати	3	-
1034	гладити	1	-
1037	гласити	1	-
1038	гласовати	6	-
1040	глашати	7	-
1046	глумити	1	-
1049	глѧдати	7	-
1050	гнести	4c	гнет
1053	гнѫшати	7	-
1059	гнѣвати	7	-
1060	гнѣвити	1	-
1064	гнѣздити	1	-
1067	готовити	1	-
1073	грабити	1	-
1074	градити	1	-
1083	грети	4c	греб
1107	грысти	4c	грыз
1108	гръмѣти	2	-
