# coherence-baseline.tsv — projection-coherence gate baseline
# (docs/UNIFIED_IDENTITY.md, gate section). Full enumeration over the
# identity table; match counts must never regress.
# generated-by: cargo xtask unified-identity
abstract_key	ocs_cells	ocs_matched	synodal_cells	synodal_matched
noun:кринъ	21	13	0	0
noun:кровъ	21	16	0	0
noun:кротость	26	12	0	0
noun:крѣпость	26	14	4	1
noun:кънижьникъ	23	10	1	1
noun:кѵпръ	21	9	0	0
noun:лакоть	21	13	0	0
noun:легеонъ	21	7	0	0
noun:ледъ	21	2	0	0
noun:лесть	26	13	2	2
noun:ликъ	21	5	0	0
noun:листъ	21	9	0	0
noun:лице	40	12	13	12
noun:лицемѣръ	21	8	1	1
noun:ловитва	21	13	0	0
noun:ловъ	21	7	0	0
noun:ложе	21	17	5	5
noun:ложесна	7	5	0	0
noun:лоза	21	16	0	0
noun:лоно	21	11	0	0
noun:лукавство	21	18	2	2
noun:людъ	21	5	0	0
noun:лѣпота	21	14	0	0
noun:лѣсъ	21	12	0	0
noun:лѣто	21	21	13	13
noun:лѣторасль	26	14	0	0
noun:лѣть	26	2	0	0
noun:маслина	21	16	0	0
noun:масло	21	9	0	0
noun:мати	21	17	23	17
noun:медвѣдь	26	12	0	0
noun:медъ	21	6	1	1
noun:милость	26	12	6	6
noun:миръ	39	18	8	8
noun:млатъ	21	12	0	0
noun:молитва	21	18	7	7
noun:мракъ	21	10	0	0
noun:мученикъ	23	0	0	0
noun:мъножьство	21	17	4	4
noun:мышца	21	6	0	0
noun:мьзда	21	14	2	2
noun:мѣдь	26	12	1	1
noun:мѣра	21	17	4	4
noun:мѣсто	21	18	13	13
noun:мѣхъ	21	11	0	0
noun:мѧсо	21	11	2	2
noun:надежда	21	10	0	0
noun:напасть	26	14	0	0
noun:народъ	23	19	7	7
noun:небо	21	16	21	20
noun:невѣста	21	14	0	0
noun:недѣлѧ	21	0	0	0
noun:немощь	26	14	0	0
noun:ненависть	26	12	0	0
noun:нива	21	15	2	2
noun:нищета	21	14	0	0
noun:нога	21	16	7	6
noun:ноздри	7	0	0	0
noun:носила	7	5	1	1
noun:нощь	26	13	3	2
noun:обида	21	16	0	0
noun:облакъ	21	14	0	0
noun:область	26	14	0	0
noun:образъ	21	17	2	2
noun:оброкъ	21	6	0	0
noun:обѣдъ	21	7	0	0
noun:обѣтъ	21	13	2	2
noun:овьца	21	17	2	2
noun:огнь	44	20	8	7
noun:одръ	21	16	0	0
noun:око	28	20	8	6
noun:олътарь	23	19	4	4
noun:опона	21	15	1	1
noun:опрѣснъкъ	21	6	1	0
noun:осьлѧ	21	12	1	1
noun:отечество	21	17	5	5
noun:отрокъ	23	18	5	4
noun:очесъ	21	13	4	4
noun:павьлъ	21	0	1	0
noun:памѧть	26	12	0	0
noun:печаль	26	14	5	5
noun:пещера	21	16	0	0
noun:пещь	26	12	9	9
noun:плачь	21	17	2	2
noun:племѧ	21	12	4	4
noun:плодъ	21	16	4	3
noun:плоть	26	14	3	2
noun:плъкъ	21	0	4	0
noun:плѣнъ	21	14	0	0
noun:побѣда	21	14	0	0
noun:повѣсть	26	13	0	0
noun:позоръ	21	3	0	0
noun:покои	21	16	1	1
noun:покровъ	21	13	0	0
noun:поле	21	16	6	6
noun:полъ	21	12	2	2
noun:польѕа	21	4	1	1
noun:помощь	26	12	2	2
noun:помощьникъ	21	13	1	1
noun:порокъ	21	7	0	0
noun:послѣдъкъ	21	3	1	1
noun:постъ	21	10	0	0
noun:потокъ	21	14	1	1
noun:потопъ	21	12	0	0
noun:похоть	26	15	0	0
noun:праведникъ	23	10	0	0
noun:правьда	21	15	5	5
noun:праздьникъ	21	12	2	2
noun:прахъ	21	10	0	0
noun:прибѣжище	21	7	0	0
noun:приносъ	21	8	0	0
noun:пристанище	21	15	0	0
noun:притворъ	21	11	0	0
noun:притъча	21	11	1	1
noun:проказа	21	8	0	0
noun:пропасть	26	13	0	0
noun:пророкъ	23	14	0	0
noun:путь	26	16	17	14
noun:пътица	21	8	3	1
noun:пьрѧ	21	13	1	1
noun:пьшеница	21	5	2	1
noun:пѣснь	26	14	6	6
noun:пѣсъкъ	21	0	1	0
noun:раба	21	15	4	4
noun:работа	21	15	4	4
noun:рабъ	23	22	17	15
noun:радость	26	13	6	3
noun:разумъ	21	16	6	6
noun:раи	21	14	0	0
noun:рамо	21	19	1	1
noun:рана	21	18	2	2
noun:рать	26	13	4	4
