source_id	artifact_id	transport	url	path	sha256	size_bytes	format	signature	content_types
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p018.htm	direct	https://www.ponomar.net/files/gama2/p018.htm	downloads/alypy-grammar/p018.htm	90b0497ed62ad361ec625324298e8fa85b0ba3cfeb5c90a84fecefcf53f8c7cf	2822	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p019.htm	direct	https://www.ponomar.net/files/gama2/p019.htm	downloads/alypy-grammar/p019.htm	10dd03b128d0814980b4b17ca1a83f4a6009925042a0d262eae025289900116d	2501	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p020-021.htm	direct	https://www.ponomar.net/files/gama2/p020-021.htm	downloads/alypy-grammar/p020-021.htm	8ca9ab205c7c487831c13f69ef1aa91893a4f3453c79039cc5b6169a7d9f0d29	2429	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p022.htm	direct	https://www.ponomar.net/files/gama2/p022.htm	downloads/alypy-grammar/p022.htm	121325d0feb004e487353d1fad0c1f1ab9ade939c280b1ed5e565c3d50d3f6a9	2955	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p023.htm	direct	https://www.ponomar.net/files/gama2/p023.htm	downloads/alypy-grammar/p023.htm	44cf9c7bd288011c27969bd47decd91ead7ec175052a9b0b4ee9a83c499c36e9	3102	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p024.htm	direct	https://www.ponomar.net/files/gama2/p024.htm	downloads/alypy-grammar/p024.htm	0657f3b6b4bffb89afbc88565e05fa01ef7cccae0e6cf7bbb4d17688f79c974f	1979	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p025.htm	direct	https://www.ponomar.net/files/gama2/p025.htm	downloads/alypy-grammar/p025.htm	41c8b114781401a007e42c95d2573dcb158e2e6325ee9b68acba1171aea20a08	9108	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p026.htm	direct	https://www.ponomar.net/files/gama2/p026.htm	downloads/alypy-grammar/p026.htm	e0dad47fc4c5b610f9a9ac6caf80db9d414ae8f61cdc5602d8cc344875c44a01	6526	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p027.htm	direct	https://www.ponomar.net/files/gama2/p027.htm	downloads/alypy-grammar/p027.htm	3bb36a6c2d00c828fb4d1555e90dce48d186282e30461a74083fad38820685a5	6052	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p028-031.htm	direct	https://www.ponomar.net/files/gama2/p028-031.htm	downloads/alypy-grammar/p028-031.htm	93783627a0dc7547ee8ca56b4104be4a9e40efcca960b6cc3b39c1d1df3d361b	2509	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p032.htm	direct	https://www.ponomar.net/files/gama2/p032.htm	downloads/alypy-grammar/p032.htm	544b121e99ae6164ac77886ac63d3d41811b2f70f06cd73bbe148b98d0f4705d	5650	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p033.htm	direct	https://www.ponomar.net/files/gama2/p033.htm	downloads/alypy-grammar/p033.htm	318b90dfb26bc9f68dfce1572178fda8b28b1f0029198f7fa798c9f155c5b837	2458	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p034.htm	direct	https://www.ponomar.net/files/gama2/p034.htm	downloads/alypy-grammar/p034.htm	58bd3eb844fe431e2af7e41f0789825b82da20425654a3a195870d0a1a3b5ecd	15207	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p035.htm	direct	https://www.ponomar.net/files/gama2/p035.htm	downloads/alypy-grammar/p035.htm	a3de32426a6a689185905b090ab21333dbac594c7d193f2250f3509d9542831a	6038	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p036.htm	direct	https://www.ponomar.net/files/gama2/p036.htm	downloads/alypy-grammar/p036.htm	b9f064aca14cd7844c14019cb031e42d14ade1997316cee2a9adad6fb660c6e0	4349	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p037.htm	direct	https://www.ponomar.net/files/gama2/p037.htm	downloads/alypy-grammar/p037.htm	0d3c7d3d1cd33d36baa07f825988af8a5113c00897e0a6923e63b7612ad4bba6	11540	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p038.htm	direct	https://www.ponomar.net/files/gama2/p038.htm	downloads/alypy-grammar/p038.htm	53051ccc2bceb9f926eb46b8739eb63da310c4f3e1cee79b35ac410d26c2a8a9	5665	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p039.htm	direct	https://www.ponomar.net/files/gama2/p039.htm	downloads/alypy-grammar/p039.htm	67f660cd533b5d28721b9dfc839c76bfec096f6781f53827b9093ba169e52ad4	8052	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p040.htm	direct	https://www.ponomar.net/files/gama2/p040.htm	downloads/alypy-grammar/p040.htm	275c74ab440f093bff0bfcde4f2e4de01d0cdfe75fba812ba9559f3f4878fc92	3742	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p041.htm	direct	https://www.ponomar.net/files/gama2/p041.htm	downloads/alypy-grammar/p041.htm	5886f902610d0c80d3923e8af8c5dd805c728ec43e5f194c8922ed86952c12ef	4897	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p042.htm	direct	https://www.ponomar.net/files/gama2/p042.htm	downloads/alypy-grammar/p042.htm	10954057b7d26288db8608a93aa14a361233fd39ddc1755c24739ef22b964fe7	7160	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p043.htm	direct	https://www.ponomar.net/files/gama2/p043.htm	downloads/alypy-grammar/p043.htm	b30c143eb7eb7fd53278fb2494a631b2f8ed5c969abb7a37d88ee1811d6f5c3c	14004	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p044.htm	direct	https://www.ponomar.net/files/gama2/p044.htm	downloads/alypy-grammar/p044.htm	2cff5b43c9aa86fa149f08d7bdd0ef22dec25c7f4a7d3904ebb0d05e0a48041d	3669	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p044app.htm	direct	https://www.ponomar.net/files/gama2/p044app.htm	downloads/alypy-grammar/p044app.htm	36244a108e1d9383cafd627686ce4358d3a312afa1df434557dd1d2763be11fc	5426	html	html	-
