lexeme_id	paradigm_id	scope	operation	evidence_id	source_id	citation	source_recension	target_recension
synodal:noun:v12-svyashchennik	synodal-positional:svyashchennik-wide-plural	noun:plural:genitive	wide-plural-ending	ponomar-acts-6-7-svyashchennikov	ponomar-elizabeth-bible-2026-08-09	Acts.6.7	synodal-russian	synodal-russian
synodal:noun:zakon	synodal-positional:zakon-wide-plural	noun:plural:genitive,dative	wide-plural-ending	ponomar-esther-1-15-zakonom	ponomar-elizabeth-bible-2026-08-09	Esther.1.15	synodal-russian	synodal-russian
