normalized_type	corpus_frequency	selector
измыйсѧ	6	sha256-mod-20
измѣненъ	2	sha256-mod-20
измѣнѧетъ	8	sha256-mod-20
измѣнѧѧ	2	sha256-mod-20
изницаше	2	sha256-mod-20
изомрꙋтъ	6	sha256-mod-20
изринетъ	4	sha256-mod-20
изрини	4	sha256-mod-20
изрѧднѡ	4	sha256-mod-20
изслѣдилъ	2	sha256-mod-20
изслѣдитъ	10	sha256-mod-20
изсѣцыте	6	sha256-mod-20
изсѣченыѧ	2	sha256-mod-20
изсꙋнꙋсте	2	sha256-mod-20
изшедшагѡ	2	sha256-mod-20
изшедшей	2	sha256-mod-20
изыдеши	56	sha256-mod-20
изыдꙋтъ	82	sha256-mod-20
изыщꙋ	6	sha256-mod-20
илаевыхъ	2	sha256-mod-20
иламовыхъ	4	sha256-mod-20
илїа	163	sha256-mod-20
илїе	8	sha256-mod-20
илїинъ	7	sha256-mod-20
илїодѡръ	10	sha256-mod-20
именовалсѧ	2	sha256-mod-20
имите	20	sha256-mod-20
имѣетъ	8	sha256-mod-20
имѣнїихъ	2	sha256-mod-20
имѣющей	4	sha256-mod-20
имꙋщема	2	sha256-mod-20
иное	10	sha256-mod-20
инꙋю	2	sha256-mod-20
ирємли	2	sha256-mod-20
исаїю	6	sha256-mod-20
исколєна	2	sha256-mod-20
ископасте	1	sha256-mod-20
искреннїй	6	sha256-mod-20
искѡма	2	sha256-mod-20
искꙋсити	14	sha256-mod-20
искꙋшєнїѧ	10	sha256-mod-20
исперите	2	sha256-mod-20
исперꙋтъ	4	sha256-mod-20
испечеши	4	sha256-mod-20
исполини	20	sha256-mod-20
исполненыхъ	10	sha256-mod-20
исполнивсѧ	4	sha256-mod-20
исполнилъ	12	sha256-mod-20
исполниста	2	sha256-mod-20
исполниша	16	sha256-mod-20
испорꙋчилъ	2	sha256-mod-20
исправитисѧ	2	sha256-mod-20
исправишасѧ	2	sha256-mod-20
испытаеши	4	sha256-mod-20
испытнѡ	4	sha256-mod-20
испій	4	sha256-mod-20
истаѧла	2	sha256-mod-20
истиненъ	55	sha256-mod-20
истиннаго	8	sha256-mod-20
истинны	8	sha256-mod-20
истлихомъ	2	sha256-mod-20
истлѣненъ	2	sha256-mod-20
исторгнꙋтсѧ	6	sha256-mod-20
источникѡвъ	14	sha256-mod-20
истощилъ	2	sha256-mod-20
истребишасѧ	2	sha256-mod-20
истреблѧетсѧ	2	sha256-mod-20
истѧжимсѧ	2	sha256-mod-20
истѧзꙋй	2	sha256-mod-20
истѧзꙋѧй	3	sha256-mod-20
исхода	40	sha256-mod-20
исходъ	58	sha256-mod-20
исходѧщемꙋ	4	sha256-mod-20
исходѧщь	2	sha256-mod-20
исхождаше	66	sha256-mod-20
исхожденїемъ	2	sha256-mod-20
исцѣдитъ	4	sha256-mod-20
исцѣлѣвахꙋсѧ	4	sha256-mod-20
исцѣлѣти	2	sha256-mod-20
исчезнеши	2	sha256-mod-20
исчезнꙋтъ	21	sha256-mod-20
исчезохъ	2	sha256-mod-20
исчислити	2	sha256-mod-20
ифанъ	2	sha256-mod-20
ищꙋщымъ	14	sha256-mod-20
иѳай	2	sha256-mod-20
кааѳъ	14	sha256-mod-20
кадилахъ	2	sha256-mod-20
кадилникѡвъ	1	sha256-mod-20
кадило	8	sha256-mod-20
кадильницꙋ	5	sha256-mod-20
кадисте	4	sha256-mod-20
кадмїилъ	8	sha256-mod-20
каменни	6	sha256-mod-20
каменное	8	sha256-mod-20
каменомєтницы	2	sha256-mod-20
камень	257	sha256-mod-20
каменю	14	sha256-mod-20
капли	22	sha256-mod-20
карїаѳарвоцѣ	2	sha256-mod-20
карїаѳемъ	2	sha256-mod-20
карїаѳъ̾ваалъ	3	sha256-mod-20
катапетасмꙋ	2	sha256-mod-20
кафъ	8	sha256-mod-20
каїнановъ	4	sha256-mod-20
каїнанъ	18	sha256-mod-20
кваснꙋ	2	sha256-mod-20
квінтъ	2	sha256-mod-20
кедрѡвымъ	2	sha256-mod-20
кедрѡнъ	6	sha256-mod-20
кенезеѡвъ	2	sha256-mod-20
кеілова	2	sha256-mod-20
кипѧщїѧ	2	sha256-mod-20
киты	2	sha256-mod-20
китїейскїѧ	2	sha256-mod-20
кладъ	2	sha256-mod-20
кладѧзю	12	sha256-mod-20
кланѧтисѧ	13	sha256-mod-20
клеветахꙋ	4	sha256-mod-20
кленꙋща	2	sha256-mod-20
клещами	2	sha256-mod-20
клеѡпова	2	sha256-mod-20
клонѧщагѡсѧ	2	sha256-mod-20
ключимыхъ	2	sha256-mod-20
клѧтсѧ	144	sha256-mod-20
книгочїа	6	sha256-mod-20
коваными	2	sha256-mod-20
коварства	2	sha256-mod-20
ковчеги	2	sha256-mod-20
коегѡждо	54	sha256-mod-20
коегѡже	1	sha256-mod-20
коемждо	20	sha256-mod-20
козлы	15	sha256-mod-20
колеблютсѧ	2	sha256-mod-20
колесе	2	sha256-mod-20
колесничное	4	sha256-mod-20
комꙋждо	87	sha256-mod-20
конечнꙋю	7	sha256-mod-20
конники	32	sha256-mod-20
концєвъ	2	sha256-mod-20
копійцами	2	sha256-mod-20
кораблехъ	16	sha256-mod-20
корчемникъ	2	sha256-mod-20
корітѧне	2	sha256-mod-20
корїандръ	2	sha256-mod-20
коснетсѧ	20	sha256-mod-20
которымъ	2	sha256-mod-20
коша	2	sha256-mod-20
кравамъ	2	sha256-mod-20
крамолꙋ	6	sha256-mod-20
крамѡлы	2	sha256-mod-20
красны	10	sha256-mod-20
крита	6	sha256-mod-20
кровѣхъ	10	sha256-mod-20
крокахъ	12	sha256-mod-20
кромѣшнюю	6	sha256-mod-20
крыетсѧ	6	sha256-mod-20
крінѣхъ	2	sha256-mod-20
крѣпчайшемꙋ	2	sha256-mod-20
крѣпчайшїй	2	sha256-mod-20
крⷭ҇тѣ	8	sha256-mod-20
крⷭ҇тѧще	1	sha256-mod-20
ктомꙋ	665	sha256-mod-20
кісовъ	4	sha256-mod-20
кїнеева	8	sha256-mod-20
кїрама	2	sha256-mod-20
кѡвачи	2	sha256-mod-20
кѡзлы	1	sha256-mod-20
кѷмвалы	10	sha256-mod-20
кѷпрїархъ	2	sha256-mod-20
кꙋда	2	sha256-mod-20
кꙋплени	7	sha256-mod-20
кꙋренїе	8	sha256-mod-20
кꙋщный	2	sha256-mod-20
кꙋщꙋ	40	sha256-mod-20
лактей	200	sha256-mod-20
лаодїкійстѣй	2	sha256-mod-20
ласкай	2	sha256-mod-20
лежати	7	sha256-mod-20
лежаше	26	sha256-mod-20
леѵітскїй	4	sha256-mod-20
леѵітстїи	12	sha256-mod-20
лживи	9	sha256-mod-20
лихва	4	sha256-mod-20
лицами	2	sha256-mod-20
лицахъ	2	sha256-mod-20
лицемѣре	6	sha256-mod-20
лишенїемъ	2	sha256-mod-20
лиши	12	sha256-mod-20
лишисѧ	4	sha256-mod-20
лобжетъ	2	sha256-mod-20
лобыза	6	sha256-mod-20
ловнꙋ	6	sha256-mod-20
ловцы	4	sha256-mod-20
ложемъ	8	sha256-mod-20
ломимъ	2	sha256-mod-20
львы	20	sha256-mod-20
льстивымъ	2	sha256-mod-20
любили	4	sha256-mod-20
любленїѧ	6	sha256-mod-20
любодѣйница	2	sha256-mod-20
любопытливъ	2	sha256-mod-20
любѧше	8	sha256-mod-20
любѧщымъ	28	sha256-mod-20
любѧщь	2	sha256-mod-20
людскій	2	sha256-mod-20
людьми	170	sha256-mod-20
люта	10	sha256-mod-20
літрꙋ	2	sha256-mod-20
лїванскаѧ	2	sha256-mod-20
лїванскꙋ	4	sha256-mod-20
лѣво	32	sha256-mod-20
лѣпотꙋ	12	sha256-mod-20
лѣты	8	sha256-mod-20
лѧдвїѧ	10	sha256-mod-20
лѵддѣ	6	sha256-mod-20
лѷкаонски	2	sha256-mod-20
лꙋкавнїи	2	sha256-mod-20
лꙋкавнꙋющихъ	6	sha256-mod-20
лꙋкавства	34	sha256-mod-20
лꙋкавы	4	sha256-mod-20
лꙋкавыхъ	36	sha256-mod-20
лꙋкавыѧ	18	sha256-mod-20
лꙋкахъ	2	sha256-mod-20
лꙋчше	163	sha256-mod-20
лꙋчшїи	2	sha256-mod-20
маасеовꙋ	2	sha256-mod-20
маахаинꙋ	2	sha256-mod-20
магдалꙋ	2	sha256-mod-20
магеддѡна	2	sha256-mod-20
маеверъ	2	sha256-mod-20
македонѧны	2	sha256-mod-20
македѣ	2	sha256-mod-20
макидѡѳа	2	sha256-mod-20
малелеилъ	8	sha256-mod-20
мало	58	sha256-mod-20
малое	27	sha256-mod-20
малхъ	2	sha256-mod-20
малыхъ	42	sha256-mod-20
малѡхова	2	sha256-mod-20
малѡѳъ	2	sha256-mod-20
малѣйшымъ	4	sha256-mod-20
малѣйшїи	2	sha256-mod-20
малꙋхъ	6	sha256-mod-20
манаа	9	sha256-mod-20
манассіевъ	4	sha256-mod-20
манѳанаіла	2	sha256-mod-20
манꙋаѳъ	2	sha256-mod-20
марѳꙋ	2	sha256-mod-20
маселимѡѳова	2	sha256-mod-20
масличины	2	sha256-mod-20
масть	2	sha256-mod-20
масфы	6	sha256-mod-20
масꙋрꙋѳа	2	sha256-mod-20
махмаса	4	sha256-mod-20
махіровыхъ	2	sha256-mod-20
махѳѡѳъ	2	sha256-mod-20
маіма	1	sha256-mod-20
маѡнанꙋ	2	sha256-mod-20
медавана	2	sha256-mod-20
медвѣди	4	sha256-mod-20
медвѣдь	6	sha256-mod-20
меирай	2	sha256-mod-20
мемфївосѳею	2	sha256-mod-20
меньшїи	3	sha256-mod-20
мерарїны	24	sha256-mod-20
мерзокъ	8	sha256-mod-20
мертвецєвъ	2	sha256-mod-20
мертвыми	16	sha256-mod-20
мерѡвъ	2	sha256-mod-20
месопотамски	2	sha256-mod-20
метанїѧ	2	sha256-mod-20
метающагѡ	2	sha256-mod-20
метевеиль	4	sha256-mod-20
мехѡнѡѳа	10	sha256-mod-20
мздоимецъ	2	sha256-mod-20
мидска	8	sha256-mod-20
мидскаго	2	sha256-mod-20
мидѡмъ	4	sha256-mod-20
милостивъ	7	sha256-mod-20
милꙋеши	4	sha256-mod-20
мимѡ	20	sha256-mod-20
мирно	2	sha256-mod-20
мк	1	sha256-mod-20
младый	2	sha256-mod-20
млатобіецъ	2	sha256-mod-20
млатѧ	2	sha256-mod-20
млачаше	2	sha256-mod-20
млинꙋ	2	sha256-mod-20
млⷭ҇тивый	4	sha256-mod-20
многаѧ	2	sha256-mod-20
многоцѣнно	2	sha256-mod-20
множайшими	6	sha256-mod-20
мною	670	sha256-mod-20
мнѡжества	2	sha256-mod-20
могꙋща	5	sha256-mod-20
можеши	63	sha256-mod-20
молитвенница	2	sha256-mod-20
молчаливый	2	sha256-mod-20
молчанїемъ	6	sha256-mod-20
молчанїю	2	sha256-mod-20
мольбѣ	2	sha256-mod-20
молѧщꙋ	1	sha256-mod-20
моромъ	12	sha256-mod-20
мочащагѡсѧ	2	sha256-mod-20
мощи	20	sha256-mod-20
мраченъ	2	sha256-mod-20
мрєжицы	2	sha256-mod-20
мскѡвъ	10	sha256-mod-20
мцⷭъ	4	sha256-mod-20
мшелоимцꙋ	2	sha256-mod-20
мщаѧ	2	sha256-mod-20
мщѧта	2	sha256-mod-20
мышцею	62	sha256-mod-20
мышчицы	2	sha256-mod-20
мышъ	2	sha256-mod-20
міръ	157	sha256-mod-20
міхины	4	sha256-mod-20
міхинымъ	2	sha256-mod-20
мїлита	4	sha256-mod-20
мїхаинъ	2	sha256-mod-20
мѡавитскїѧ	1	sha256-mod-20
мѡавлскимъ	1	sha256-mod-20
мѡавль	33	sha256-mod-20
мѡавіти	6	sha256-mod-20
мѡавітска	4	sha256-mod-20
мѡавітскїй	6	sha256-mod-20
мѡавітскїѧ	9	sha256-mod-20
мѡса	2	sha256-mod-20
мѡѷсеѡвы	8	sha256-mod-20
мѣдна	2	sha256-mod-20
мѣднаѧ	2	sha256-mod-20
мѣдь	65	sha256-mod-20
мѣдѧнꙋ	18	sha256-mod-20
мѣрахъ	2	sha256-mod-20
мѣрѣ	16	sha256-mod-20
мѧ	3052	sha256-mod-20
мѷріка	2	sha256-mod-20
мꙋдромꙋ	10	sha256-mod-20
мꙋдростїю	12	sha256-mod-20
мꙋжей	744	sha256-mod-20
мꙋжескъ	130	sha256-mod-20
мꙋжехъ	24	sha256-mod-20
мꙋжъ	965	sha256-mod-20
мꙋка	22	sha256-mod-20
мꙋкꙋ	42	sha256-mod-20
мꙋчаше	2	sha256-mod-20
мꙋченїѧ	10	sha256-mod-20
наасовымъ	4	sha256-mod-20
наблюдше	2	sha256-mod-20
наводѧ	2	sha256-mod-20
навѣтникомъ	2	sha256-mod-20
навѣты	2	sha256-mod-20
нагевовѣ	2	sha256-mod-20
наги	6	sha256-mod-20
надава	2	sha256-mod-20
надежда	58	sha256-mod-20
надлежаще	2	sha256-mod-20
надлєжащаѧ	4	sha256-mod-20
надѣѧшасѧ	4	sha256-mod-20
назарѧнинѣ	2	sha256-mod-20
назидающе	1	sha256-mod-20
назираетъ	8	sha256-mod-20
назирающымъ	2	sha256-mod-20
назнаменꙋйте	4	sha256-mod-20
наименꙋетъ	2	sha256-mod-20
наказꙋющи	2	sha256-mod-20
наковални	1	sha256-mod-20
належащꙋ	4	sha256-mod-20
наложите	2	sha256-mod-20
наложитсѧ	4	sha256-mod-20
налѧчеши	2	sha256-mod-20
намажеши	2	sha256-mod-20
намессіина	6	sha256-mod-20
нападаете	4	sha256-mod-20
нападающыѧ	2	sha256-mod-20
напаѧема	2	sha256-mod-20
напаѧнїѧ	4	sha256-mod-20
написавъ	2	sha256-mod-20
написалъ	6	sha256-mod-20
написаша	14	sha256-mod-20
напишꙋтсѧ	12	sha256-mod-20
напоихомсѧ	2	sha256-mod-20
напоихомъ	2	sha256-mod-20
напоиша	4	sha256-mod-20
напольнѣй	4	sha256-mod-20
направихъ	2	sha256-mod-20
направлѧхсѧ	2	sha256-mod-20
напрѧженна	2	sha256-mod-20
нарочитыми	2	sha256-mod-20
нарѡды	2	sha256-mod-20
насаждающымъ	2	sha256-mod-20
населю	2	sha256-mod-20
насильствовати	4	sha256-mod-20
наскочилъ	2	sha256-mod-20
наслѣдїемъ	6	sha256-mod-20
наслѣдꙋю	2	sha256-mod-20
наставлѧѧй	6	sha256-mod-20
настоѧщїѧ	2	sha256-mod-20
настꙋпати	2	sha256-mod-20
началствꙋѧй	2	sha256-mod-20
начальникѡмъ	13	sha256-mod-20
началѣ	78	sha256-mod-20
началꙋ	2	sha256-mod-20
начахъ	20	sha256-mod-20
начинай	4	sha256-mod-20
начинайте	6	sha256-mod-20
начинанїихъ	22	sha256-mod-20
начнꙋ	16	sha256-mod-20
нашымъ	158	sha256-mod-20
наѡстрите	2	sha256-mod-20
наѧхъ	2	sha256-mod-20
наѳанаилъ	27	sha256-mod-20
наѳієвы	2	sha256-mod-20
наꙋтрїе	38	sha256-mod-20
наꙋченъ	4	sha256-mod-20
наꙋчила	2	sha256-mod-20
наꙋчитисѧ	6	sha256-mod-20
наꙋчишисѧ	6	sha256-mod-20
наꙋчꙋ	19	sha256-mod-20
нбⷭ҇нагѡ	36	sha256-mod-20
нбⷭ҇наѧ	12	sha256-mod-20
неболѧщаѧ	2	sha256-mod-20
небомъ	15	sha256-mod-20
невоздержанїемъ	2	sha256-mod-20
невозможно	23	sha256-mod-20
неврѡдовꙋ	2	sha256-mod-20
невходный	2	sha256-mod-20
невѣдый	2	sha256-mod-20
невѣрни	2	sha256-mod-20
невѣрными	6	sha256-mod-20
невѣрствїи	4	sha256-mod-20
невѣсты	18	sha256-mod-20
негнїюшихъ	2	sha256-mod-20
недоꙋмѣвашесѧ	4	sha256-mod-20
неемановъ	2	sha256-mod-20
неистови	2	sha256-mod-20
неисцѣльнаѧ	1	sha256-mod-20
неключими	4	sha256-mod-20
некѡдановы	2	sha256-mod-20
немощніи	10	sha256-mod-20
ненавидѣ	2	sha256-mod-20
ненаказанными	2	sha256-mod-20
ненаꙋчени	2	sha256-mod-20
неповинныѧ	14	sha256-mod-20
неподвижна	2	sha256-mod-20
неподобною	2	sha256-mod-20
непокорства	2	sha256-mod-20
непостꙋпни	2	sha256-mod-20
неправдѣ	44	sha256-mod-20
неправдꙋ	100	sha256-mod-20
неправеденъ	18	sha256-mod-20
неправеднаѧ	2	sha256-mod-20
неправеднїи	10	sha256-mod-20
непреложнѣмъ	2	sha256-mod-20
непщевахомъ	2	sha256-mod-20
непщꙋйте	2	sha256-mod-20
нерадѣнїе	2	sha256-mod-20
нерадѣти	2	sha256-mod-20
неразвратное	2	sha256-mod-20
неразрꙋшаемагѡ	2	sha256-mod-20
неразꙋмно	2	sha256-mod-20
неразꙋмїихъ	2	sha256-mod-20
нерастлѣнїе	2	sha256-mod-20
несогласїѧ	2	sha256-mod-20
нетесаныхъ	4	sha256-mod-20
нетєсана	2	sha256-mod-20
нетѡфатіевыхъ	2	sha256-mod-20
нетѡфаѳіта	4	sha256-mod-20
нефꙋсімли	2	sha256-mod-20
нечестиви	2	sha256-mod-20
нечестїе	58	sha256-mod-20
нечєстивымъ	12	sha256-mod-20
неѡбитаемѣй	2	sha256-mod-20
неѡбитаннꙋ	2	sha256-mod-20
неѡбрѣзаннїи	10	sha256-mod-20
неꙋдобно	2	sha256-mod-20
нивѣ	22	sha256-mod-20
низведе	2	sha256-mod-20
низвергꙋ	2	sha256-mod-20
низводиши	2	sha256-mod-20
низложитъ	6	sha256-mod-20
низпаденїи	2	sha256-mod-20
низпꙋщаемый	4	sha256-mod-20
никій	2	sha256-mod-20
нировъ	12	sha256-mod-20
ниріевъ	2	sha256-mod-20
ничесогѡ	2	sha256-mod-20
ничто	18	sha256-mod-20
нищаго	28	sha256-mod-20
нищагѡ	27	sha256-mod-20
нищетою	10	sha256-mod-20
нищетꙋ	12	sha256-mod-20
ннже	1	sha256-mod-20
новомⷭ҇чїихъ	7	sha256-mod-20
новыхъ	22	sha256-mod-20
новꙋю	6	sha256-mod-20
ногтьми	2	sha256-mod-20
ноемміною	2	sha256-mod-20
носите	10	sha256-mod-20
носѧщагѡ	8	sha256-mod-20
носѧщѧ	2	sha256-mod-20
нощнагѡ	10	sha256-mod-20
нощнѣмъ	6	sha256-mod-20
нощнꙋю	2	sha256-mod-20
нынѣшнїѧ	2	sha256-mod-20
нѡадіины	2	sha256-mod-20
нѣкотораѧ	2	sha256-mod-20
нѣмыѧ	8	sha256-mod-20
нѣсмы	20	sha256-mod-20
нꙋждахъ	2	sha256-mod-20
нꙋждѣ	4	sha256-mod-20
оужаснитесѧ	1	sha256-mod-20
оузрѧтъ	6	sha256-mod-20
оукорѧеми	1	sha256-mod-20
оуслышавше	1	sha256-mod-20
оустнѣ	5	sha256-mod-20
пагꙋбы	22	sha256-mod-20
падающими	2	sha256-mod-20
падшымъ	6	sha256-mod-20
падый	8	sha256-mod-20
пакоствꙋютъ	2	sha256-mod-20
пакости	2	sha256-mod-20
паличники	2	sha256-mod-20
пардалеѡвъ	2	sha256-mod-20
пасхи	31	sha256-mod-20
пасхꙋ	116	sha256-mod-20
пасѧшесѧ	2	sha256-mod-20
пахѡна	2	sha256-mod-20
паѵлови	6	sha256-mod-20
паѵловы	2	sha256-mod-20
паѵлꙋ	42	sha256-mod-20
первороднаго	2	sha256-mod-20
перворожденный	4	sha256-mod-20
первосвѧщенникомъ	2	sha256-mod-20
первословїи	2	sha256-mod-20
перїй	2	sha256-mod-20
перїйцъ	2	sha256-mod-20
петрови	24	sha256-mod-20
пецысѧ	4	sha256-mod-20
печена	2	sha256-mod-20
писканїемъ	2	sha256-mod-20
питомаго	2	sha256-mod-20
пишетсѧ	6	sha256-mod-20
пишꙋтсѧ	2	sha256-mod-20
плавающихъ	2	sha256-mod-20
пламень	67	sha256-mod-20
плачевопльствитъ	2	sha256-mod-20
плачетесѧ	2	sha256-mod-20
плачꙋтъ	4	sha256-mod-20
племеноначалникѡмъ	1	sha256-mod-20
племеноначальницы	1	sha256-mod-20
плесницы	2	sha256-mod-20
плещма	2	sha256-mod-20
плещы	16	sha256-mod-20
плещꙋщїи	2	sha256-mod-20
плодствовати	2	sha256-mod-20
плоторастерзателѧ	2	sha256-mod-20
плєснꙋ	2	sha256-mod-20
плінѳеннагѡ	4	sha256-mod-20
плінѳы	6	sha256-mod-20
плїнѳодѣланїю	2	sha256-mod-20
плѡти	80	sha256-mod-20
плѣжꙋтъ	2	sha256-mod-20
плѣненъ	30	sha256-mod-20
плѣнєны	2	sha256-mod-20
плѣнѧюще	2	sha256-mod-20
побѣжа	2	sha256-mod-20
побѣждаше	4	sha256-mod-20
побꙋждающе	2	sha256-mod-20
поведенїе	2	sha256-mod-20
повелѣвающагѡ	2	sha256-mod-20
повелѣнными	2	sha256-mod-20
повиненъ	38	sha256-mod-20
повинꙋсѧ	4	sha256-mod-20
повита	2	sha256-mod-20
повредилъ	2	sha256-mod-20
повредитсѧ	2	sha256-mod-20
повѣдано	2	sha256-mod-20
повѣдаста	6	sha256-mod-20
повѣдающи	2	sha256-mod-20
повѣдѧтъ	22	sha256-mod-20
повѣшше	2	sha256-mod-20
погибаѧй	2	sha256-mod-20
поглꙋмлюсѧ	8	sha256-mod-20
погребосте	2	sha256-mod-20
погрѣшитъ	2	sha256-mod-20
погрꙋжатисѧ	4	sha256-mod-20
погꙋблѧемъ	2	sha256-mod-20
под̾ѧрємникъ	2	sha256-mod-20
под̾ѧша	6	sha256-mod-20
под̾ꙋстившꙋ	2	sha256-mod-20
подавай	2	sha256-mod-20
подвигъ	11	sha256-mod-20
подвижꙋтсѧ	10	sha256-mod-20
подвизаюсѧ	6	sha256-mod-20
подградїѧми	10	sha256-mod-20
поддана	2	sha256-mod-20
подкопанїи	2	sha256-mod-20
подложницы	4	sha256-mod-20
подножїѧ	2	sha256-mod-20
подоаетъ	1	sha256-mod-20
подобающыѧ	2	sha256-mod-20
подобитесѧ	4	sha256-mod-20
подобными	4	sha256-mod-20
подобнѣ	22	sha256-mod-20
поемь	23	sha256-mod-20
поженеши	6	sha256-mod-20
пожжетъ	15	sha256-mod-20
позавидѣвше	2	sha256-mod-20
поздравлѧхꙋ	2	sha256-mod-20
позлащеныхъ	1	sha256-mod-20
познавашесѧ	2	sha256-mod-20
познай	6	sha256-mod-20
познахъ	48	sha256-mod-20
познаша	106	sha256-mod-20
поиди	6	sha256-mod-20
поило	2	sha256-mod-20
поимꙋ	13	sha256-mod-20
пойдꙋтъ	106	sha256-mod-20
показꙋю	4	sha256-mod-20
покарѧютсѧ	4	sha256-mod-20
покарѧющьсѧ	2	sha256-mod-20
покарѧѧйсѧ	2	sha256-mod-20
покаѧхсѧ	4	sha256-mod-20
покива	4	sha256-mod-20
покланѧющихсѧ	4	sha256-mod-20
покоищꙋ	2	sha256-mod-20
поколеблетсѧ	6	sha256-mod-20
покорѧтсѧ	6	sha256-mod-20
покровена	4	sha256-mod-20
покрываломъ	4	sha256-mod-20
покрыю	14	sha256-mod-20
покꙋшꙋсѧ	2	sha256-mod-20
поле	91	sha256-mod-20
ползокъ	4	sha256-mod-20
ползꙋща	2	sha256-mod-20
полкꙋ	14	sha256-mod-20
полнымъ	4	sha256-mod-20
положени	12	sha256-mod-20
положившымъ	2	sha256-mod-20
положивый	10	sha256-mod-20
положиша	113	sha256-mod-20
пользова	4	sha256-mod-20
пользоваша	2	sha256-mod-20
полꙋчꙋ	3	sha256-mod-20
помазаныѧ	2	sha256-mod-20
помазатисѧ	4	sha256-mod-20
поманꙋша	4	sha256-mod-20
помасти	2	sha256-mod-20
помизанїемъ	2	sha256-mod-20
помиловани	11	sha256-mod-20
помилꙋю	41	sha256-mod-20
помнѧщїи	2	sha256-mod-20
помогохъ	10	sha256-mod-20
помостъ	12	sha256-mod-20
помрачитсѧ	8	sha256-mod-20
помысливше	2	sha256-mod-20
помышленїи	8	sha256-mod-20
помышлѧющемꙋ	2	sha256-mod-20
помѧнꙋвъ	6	sha256-mod-20
понесшымъ	2	sha256-mod-20
понꙋждающемꙋ	2	sha256-mod-20
попалѧющь	2	sha256-mod-20
поползнетсѧ	4	sha256-mod-20
попꙋщенїе	2	sha256-mod-20
поработайте	4	sha256-mod-20
порабощєны	2	sha256-mod-20
порадовасѧ	4	sha256-mod-20
поразивый	2	sha256-mod-20
поразиша	32	sha256-mod-20
порожденїй	4	sha256-mod-20
порꙋгаемь	6	sha256-mod-20
порꙋгаетъ	2	sha256-mod-20
порꙋчаѧйсѧ	2	sha256-mod-20
послано	2	sha256-mod-20
посли	70	sha256-mod-20
послите	28	sha256-mod-20
послѣдꙋетъ	8	sha256-mod-20
послѣдꙋйте	6	sha256-mod-20
послꙋжистѣ	2	sha256-mod-20
послꙋжитъ	12	sha256-mod-20
послꙋшанїю	2	sha256-mod-20
посмотрю	2	sha256-mod-20
посмѣетемисѧ	2	sha256-mod-20
поспати	2	sha256-mod-20
поспѣшитъ	4	sha256-mod-20
посрамимсѧ	2	sha256-mod-20
посребрєнныѧ	2	sha256-mod-20
постигнꙋша	8	sha256-mod-20
пострадахъ	5	sha256-mod-20
постыжꙋсѧ	20	sha256-mod-20
постѧщымсѧ	2	sha256-mod-20
постꙋпи	2	sha256-mod-20
посылалъ	4	sha256-mod-20
посѣѧни	2	sha256-mod-20
посѧгахꙋ	2	sha256-mod-20
потаитсѧ	4	sha256-mod-20
потерплю	16	sha256-mod-20
потоплю	2	sha256-mod-20
потоплѧющагѡ	2	sha256-mod-20
потребенъ	11	sha256-mod-20
потреблю	64	sha256-mod-20
потреблѧетъ	4	sha256-mod-20
потрєбнаѧ	14	sha256-mod-20
потщаннѡ	2	sha256-mod-20
похотѣша	10	sha256-mod-20
почереднѡ	4	sha256-mod-20
почитаєма	2	sha256-mod-20
почꙋдивсѧ	2	sha256-mod-20
почꙋдихсѧ	2	sha256-mod-20
почꙋти	3	sha256-mod-20
пощадѣла	2	sha256-mod-20
поѣдꙋтъ	2	sha256-mod-20
поѧшетъ	2	sha256-mod-20
поꙋчаютсѧ	4	sha256-mod-20
праведенъ	43	sha256-mod-20
праведника	3	sha256-mod-20
праведникѡмъ	2	sha256-mod-20
праведнымъ	3	sha256-mod-20
правости	12	sha256-mod-20
правыѧ	16	sha256-mod-20
правѡты	3	sha256-mod-20
прагъ	4	sha256-mod-20
праздникъ	158	sha256-mod-20
праздничнагѡ	2	sha256-mod-20
праздность	4	sha256-mod-20
празднꙋюще	8	sha256-mod-20
празѣхъ	4	sha256-mod-20
пребывай	14	sha256-mod-20
пребывающымъ	4	sha256-mod-20
пребꙋдемъ	10	sha256-mod-20
превеликъ	2	sha256-mod-20
превелїѧ	2	sha256-mod-20
превести	12	sha256-mod-20
превождаше	2	sha256-mod-20
превосходномꙋ	2	sha256-mod-20
превосходѧщꙋю	2	sha256-mod-20
превративъ	2	sha256-mod-20
превысокихъ	2	sha256-mod-20
превысоцыи	2	sha256-mod-20
превысѡкаѧ	2	sha256-mod-20
превышнее	2	sha256-mod-20
превѣщавый	2	sha256-mod-20
преграды	16	sha256-mod-20
пред̾играютъ	2	sha256-mod-20
пред̾идѧхꙋ	12	sha256-mod-20
пред̾ꙋготовано	2	sha256-mod-20
предаетъ	4	sha256-mod-20
преданныхъ	2	sha256-mod-20
предателє	4	sha256-mod-20
предводителствꙋетъ	1	sha256-mod-20
предвѣдѧще	2	sha256-mod-20
предлежащїѧ	2	sha256-mod-20
предложити	14	sha256-mod-20
предпослани	2	sha256-mod-20
предрагіѧ	2	sha256-mod-20
предрѣченно	1	sha256-mod-20
предста	24	sha256-mod-20
представлѧюще	4	sha256-mod-20
предстанемъ	2	sha256-mod-20
предстанꙋ	2	sha256-mod-20
предстанꙋтъ	6	sha256-mod-20
предстателемъ	2	sha256-mod-20
предстоѧщихъ	14	sha256-mod-20
