normalized_type	corpus_frequency	selector
бꙋдетѣ	2	sha256-mod-20
бꙋдꙋщаѧ	18	sha256-mod-20
бꙋесловїе	2	sha256-mod-20
бꙋрнѣ	2	sha256-mod-20
ваанеа	2	sha256-mod-20
вааномъ	2	sha256-mod-20
вагѡевыхъ	2	sha256-mod-20
вагѡю	4	sha256-mod-20
важдахꙋ	2	sha256-mod-20
ваквакаръ	2	sha256-mod-20
вакхіда	12	sha256-mod-20
валакомъ	2	sha256-mod-20
валекъ	2	sha256-mod-20
валлою	4	sha256-mod-20
валтаамъ	4	sha256-mod-20
валтаамꙋ	2	sha256-mod-20
вамѡѳа	4	sha256-mod-20
ваніинъ	2	sha256-mod-20
ванꙋіни	2	sha256-mod-20
варкосѡвы	2	sha256-mod-20
варїины	2	sha256-mod-20
варѧѧ	2	sha256-mod-20
варꙋхꙋ	14	sha256-mod-20
васаіева	2	sha256-mod-20
васѡдіевъ	2	sha256-mod-20
васꙋрѡѳа	2	sha256-mod-20
вахірова	2	sha256-mod-20
вашимъ	96	sha256-mod-20
вашєю	9	sha256-mod-20
ваѳїріма	2	sha256-mod-20
ваѳꙋилъ	4	sha256-mod-20
введете	2	sha256-mod-20
вдати	8	sha256-mod-20
вдашасѧ	6	sha256-mod-20
вдовицамъ	4	sha256-mod-20
вдѣжеши	2	sha256-mod-20
ведомѣй	2	sha256-mod-20
ведѧхꙋ	4	sha256-mod-20
веиріинꙋ	2	sha256-mod-20
велбꙋдꙋ	2	sha256-mod-20
велерѣчивасте	2	sha256-mod-20
великолѣпїѧ	2	sha256-mod-20
великїѧ	64	sha256-mod-20
величествїѧ	7	sha256-mod-20
велїей	2	sha256-mod-20
венїаміновѣ	8	sha256-mod-20
верріа	2	sha256-mod-20
версѣ	31	sha256-mod-20
вертограды	14	sha256-mod-20
вертъ	1	sha256-mod-20
вертѧщаѧсѧ	2	sha256-mod-20
веселитесѧ	14	sha256-mod-20
веселитсѧ	16	sha256-mod-20
веселитъ	20	sha256-mod-20
веселый	2	sha256-mod-20
вечернее	4	sha256-mod-20
веѳаравы	2	sha256-mod-20
веѳарꙋ	2	sha256-mod-20
веѳлѡмѡнѡвъ	2	sha256-mod-20
веѳсамѵсъ	8	sha256-mod-20
веѳсꙋровъ	2	sha256-mod-20
веѳсꙋры	2	sha256-mod-20
веѳѡрѡнъ	18	sha256-mod-20
взираетъ	2	sha256-mod-20
взлысинѣ	6	sha256-mod-20
взыдетъ	124	sha256-mod-20
взыдимъ	2	sha256-mod-20
взысканїю	2	sha256-mod-20
взыскꙋющымъ	2	sha256-mod-20
взыщи	12	sha256-mod-20
взѧтаѧ	2	sha256-mod-20
взѧша	260	sha256-mod-20
виды	2	sha256-mod-20
видѧщыѧ	2	sha256-mod-20
виновнаго	2	sha256-mod-20
вирѡѳа	4	sha256-mod-20
висій	2	sha256-mod-20
висѧщꙋ	2	sha256-mod-20
виталищъ	2	sha256-mod-20
вихрѣ	4	sha256-mod-20
виѳлеема	38	sha256-mod-20
виѳсаідо	4	sha256-mod-20
виѳъ	3	sha256-mod-20
вкоренени	2	sha256-mod-20
вкꙋсисте	2	sha256-mod-20
вкꙋшаютъ	2	sha256-mod-20
влагаеши	2	sha256-mod-20
владыкамъ	8	sha256-mod-20
владыцы	2	sha256-mod-20
владыцѣхъ	2	sha256-mod-20
владычєства	2	sha256-mod-20
владѣеши	2	sha256-mod-20
властелинство	2	sha256-mod-20
власы	72	sha256-mod-20
власѧно	2	sha256-mod-20
влекꙋшыѧ	1	sha256-mod-20
влекꙋще	2	sha256-mod-20
влѣзи	2	sha256-mod-20
вмѣниша	10	sha256-mod-20
внесꙋтъ	6	sha256-mod-20
внидоста	18	sha256-mod-20
внимайте	6	sha256-mod-20
внимателнѡ	1	sha256-mod-20
внимати	20	sha256-mod-20
внимаѧй	6	sha256-mod-20
вносѧщихъ	2	sha256-mod-20
внѣшнѧгѡ	14	sha256-mod-20
внꙋтрєннїѧ	4	sha256-mod-20
водныхъ	14	sha256-mod-20
водоносецъ	2	sha256-mod-20
водотєчи	2	sha256-mod-20
водѣ	90	sha256-mod-20
воевалъ	2	sha256-mod-20
воеваста	2	sha256-mod-20
воеводствъ	4	sha256-mod-20
военною	2	sha256-mod-20
вождоначальника	3	sha256-mod-20
воз̾ѡбладаша	4	sha256-mod-20
возбранитъ	12	sha256-mod-20
возведше	2	sha256-mod-20
возведꙋ	20	sha256-mod-20
возвеличимъ	4	sha256-mod-20
возвеличꙋ	8	sha256-mod-20
возвелъ	10	sha256-mod-20
возводѧ	2	sha256-mod-20
возвратившейсѧ	2	sha256-mod-20
возвратитесѧ	46	sha256-mod-20
возвращати	2	sha256-mod-20
возвысисѧ	16	sha256-mod-20
возвышаѧй	3	sha256-mod-20
возвѣстившꙋ	2	sha256-mod-20
возвѣстишасѧ	4	sha256-mod-20
возвѣщай	2	sha256-mod-20
возглаголалъ	4	sha256-mod-20
возглаголаста	2	sha256-mod-20
возглаголи	2	sha256-mod-20
возглашати	4	sha256-mod-20
возградитесѧ	2	sha256-mod-20
воздавый	2	sha256-mod-20
воздаѧнїємъ	2	sha256-mod-20
воздвигнꙋшасѧ	2	sha256-mod-20
воздвигоста	2	sha256-mod-20
воздвиженꙋ	2	sha256-mod-20
воздвизающїи	10	sha256-mod-20
воздохнеши	2	sha256-mod-20
возжгошасѧ	2	sha256-mod-20
возжелѣша	2	sha256-mod-20
воззрѣсте	2	sha256-mod-20
воззрѧтъ	19	sha256-mod-20
возливальницы	1	sha256-mod-20
возложенїй	2	sha256-mod-20
возложивше	2	sha256-mod-20
возложиша	95	sha256-mod-20
возлюблю	6	sha256-mod-20
возлїетсѧ	4	sha256-mod-20
возлїѧ	20	sha256-mod-20
возлїѧнъ	2	sha256-mod-20
возмемъ	19	sha256-mod-20
возмнѣ	8	sha256-mod-20
возмогши	1	sha256-mod-20
возмогꙋтъ	71	sha256-mod-20
вознеимѣетъ	2	sha256-mod-20
возненавидѣвъ	6	sha256-mod-20
возненавидѣнъ	14	sha256-mod-20
возненавидѣнꙋ	2	sha256-mod-20
вознепщꙋетъ	2	sha256-mod-20
вознестисѧ	6	sha256-mod-20
вознесшагосѧ	4	sha256-mod-20
возописте	4	sha256-mod-20
возрадовастасѧ	2	sha256-mod-20
возрадовахсѧ	6	sha256-mod-20
возрадꙋемсѧ	8	sha256-mod-20
возскачꙋтъ	2	sha256-mod-20
возскомлетъ	2	sha256-mod-20
возсмѣѧшасѧ	2	sha256-mod-20
возсоздаша	2	sha256-mod-20
возставлѧѧ	2	sha256-mod-20
возстенѧтъ	4	sha256-mod-20
