key	lexeme_id	source_spellings
амемоурмнинъ	амемоурмнинъ|noun|f19ad82c0b07b859	canonical:"амемоурмнинъ" || page:"амемоурмнинъ"
амемоурмньи	амемоурмнии|noun|1417c14382b2112f	alternative:"амемоурмньи"
амемоурмньи	амемоурмньи|noun|cea46faa9e7513ba	canonical:"амемоурмньи" || page:"амемоурмньи"
анагностьство	анагностьство|noun|d8b67d3aa9afce1b	canonical:"анагностьство" || page:"анагностьство"
аналавъ	аналавъ|noun|d5ec938f9a10e054	canonical:"аналавъ" || page:"аналавъ"
ангелозрачьнъ	анг҄елозрачьнъ|adj|fb3be9eb600ea8c5	page:"ангелозрачьнъ"
ангелъ	анг҄елъ|noun|29fb628af75990d6	page:"ангелъ"
анг҄елозрачьнъ	анг҄елозрачьнъ|adj|fb3be9eb600ea8c5	canonical:"анг҄елозрачьнъ" || source-canonical:"анг҄елозрачьнъ"
анг҄елъ	анг҄елъ|noun|29fb628af75990d6	canonical:"анг҄елъ" || source-canonical:"анг҄елъ"
андреи	андреиъ|noun|1dbf40082ae51005	page:"Андреи"
андреиъ	андреиъ|noun|1dbf40082ae51005	canonical:"Андреиъ"
андрѣи	андреиъ|noun|1dbf40082ae51005	alternative:"Андрѣи"
антикрьстъ	антихрьстъ|noun|fc35c372b1e1770f	alternative:"антикрьстъ"
антихрьстъ	антихрьстъ|noun|fc35c372b1e1770f	canonical:"антихрьстъ" || page:"антихрьстъ"
анъг҄елъ	анг҄елъ|noun|29fb628af75990d6	alternative:"анъг҄елъ"
анъꙉелъ	анг҄елъ|noun|29fb628af75990d6	alternative:"анъꙉелъ"
ан҃г	анг҄елъ|noun|29fb628af75990d6	alternative:"ан҃г"
анꙉелъ	анг҄елъ|noun|29fb628af75990d6	alternative:"анꙉелъ"
апостолъ	апостолъ|noun|7586d44b73f85395	canonical:"апостолъ" || page:"апостолъ"
апостольво	апостольво|noun|526e949ba3dbad64	canonical:"апостольво"
апостольство	апостольво|noun|526e949ba3dbad64	page:"апостольство"
априль	април҄ь|noun|e3731fe50a153ea1	page:"априль"
април҄ь	април҄ь|noun|e3731fe50a153ea1	canonical:"април҄ь" || source-canonical:"април҄ь"
ареи	ареи|noun|4c00a8ba38d96aba	canonical:"Ареи" || page:"Ареи"
арисъ	арисъ|noun|3d8d63166d02d659	canonical:"Арисъ" || page:"Арисъ"
ароматъ	ароматъ|noun|700b01f15b41cabb	canonical:"ароматъ" || page:"ароматъ"
архангелъ	архангелъ|noun|c485b72d002bb304	canonical:"архангелъ" || page:"архангелъ"
архепискоупъ	архиепискоупъ|noun|6bf3dfbde7c95821	alternative:"архепискоупъ"
архиепископъ	архиепискоупъ|noun|6bf3dfbde7c95821	alternative:"архиепископъ"
архиепискоупъ	архиепискоупъ|noun|6bf3dfbde7c95821	canonical:"архиепискоупъ" || page:"архиепискоупъ"
архистратигъ	архистратигъ|noun|b07b204f89743349	canonical:"архистратигъ" || page:"архистратигъ"
архитриклинъ	архитриклинъ|noun|86faabfc16194710	canonical:"архитриклинъ" || page:"архитриклинъ"
архитриклинътъ	архитриклинъ|noun|86faabfc16194710	alternative:"архитриклинътъ"
ассарии	ассарии|noun|7f4f6dfbf0dd3ee3	canonical:"ассарии" || page:"ассарии"
асіꙗ	асіꙗ|noun|1e89b463907330c3	canonical:"Асіꙗ" || page:"Асіꙗ"
асѵрии	асѵрии|noun|fc4feeace5cdbb92	canonical:"асѵрии" || page:"асѵрии"
атанасии	аѳанасииъ|noun|70ab5a7b69a6b815	alternative:"Атанасии"
афедронъ	афедронъ|noun|50960eae985c9d66	canonical:"афедронъ" || page:"афедронъ"
афредъ	афедронъ|noun|50960eae985c9d66	alternative:"афредъ"
афріка	афріка|noun|1152f7922a791dd6	canonical:"Афріка" || page:"Афріка"
ащеръ	ащеръ|noun|0fd542962262d5d6	canonical:"ащеръ" || page:"ащеръ"
аѳанасии	аѳанасииъ|noun|70ab5a7b69a6b815	page:"Аѳанасии"
аѳанасииъ	аѳанасииъ|noun|70ab5a7b69a6b815	canonical:"Аѳанасииъ"
баба	баба|noun|0aad973e33a40639	canonical:"баба" || page:"баба"
багъръ	багъръ|noun|9d199d1ee0aa8f13	canonical:"багъръ" || page:"багъръ"
багърѣница	багърѣница|noun|0c39aa9857403346	canonical:"багърѣница" || page:"багърѣница"
балии	балии|noun|caab430f9dab4cd1	canonical:"балии" || page:"балии"
балии	бальи|noun|f8a4be70fb410f6a	alternative:"балии"
балованиѥ	балованиѥ|noun|0a036eea5c2c1754	canonical:"балованиѥ" || page:"балованиѥ"
баловати	баловати|verb|787d7296dd851d1b	canonical:"баловати" || page:"баловати"
бальи	балии|noun|caab430f9dab4cd1	alternative:"бальи"
бальи	бальи|noun|f8a4be70fb410f6a	canonical:"бальи" || page:"бальи"
бальство	бальство|noun|a9878cf699804bc9	canonical:"бальство" || page:"бальство"
банꙗ	банꙗ|noun|af21ac729b7a1f3d	canonical:"банꙗ" || page:"банꙗ"
баꙗниѥ	баꙗниѥ|noun|eeeaa1a26cce804a	canonical:"баꙗниѥ" || page:"баꙗниѥ"
баꙗти	баꙗти|verb|bdd8d483472158ef	canonical:"баꙗти" || page:"баꙗти"
бедра	бедра|noun|9c7a401f3b3a20ce	canonical:"бедра" || page:"бедра"
безблазьнъ	безблазьнъ|adj|7d90df45b0125863	canonical:"безблазьнъ" || page:"безблазьнъ"
безбожьникъ	безбожьникъ|noun|74c566b315dc67b7	canonical:"безбожьникъ" || page:"безбожьникъ"
безбожьѥ	безбожьѥ|noun|8368404d5b17c084	canonical:"безбожьѥ" || page:"безбожьѥ"
безградьникъ	безградьникъ|noun|b76d8fdc5366a5be	canonical:"безградьникъ" || page:"безградьникъ"
бездъждьѥ	бездъждьѥ|noun|991cde4b1942e6d9	canonical:"бездъждьѥ" || page:"бездъждьѥ"
бездъна	бездъна|noun|983c50987663a358	canonical:"бездъна" || page:"бездъна"
безлобиѥ	безлобьѥ|noun|21d4eaba326d5f2c	alternative:"безлобиѥ"
безлобьѥ	безлобьѥ|noun|21d4eaba326d5f2c	canonical:"безлобьѥ" || page:"безлобьѥ"
безмлъвиѥ	безмлъвиѥ|noun|7a45495dcffdb0ab	canonical:"безмлъвиѥ" || page:"безмлъвиѥ"
безмьздьникъ	безмьздьникъ|noun|5c2dd58a1936de0c	canonical:"безмьздьникъ" || page:"безмьздьникъ"
безмѣриѥ	безмѣриѥ|noun|21bdd21342f783cd	canonical:"безмѣриѥ" || page:"безмѣриѥ"
безнадеждьнъ	безнадеждьнъ|adj|29a536970a35b359	canonical:"безнадеждьнъ" || page:"безнадеждьнъ"
безоумьникъ	безоумьникъ|noun|6427270905911e7a	canonical:"безоумьникъ" || page:"безоумьникъ"
безоумьнъ	безоумьнъ|noun|1e9e4232cefa479b	canonical:"безоумьнъ" || page:"безоумьнъ"
безоумьѥ	безоумьѥ|noun|6626d4f255c23c15	canonical:"безоумьѥ" || page:"безоумьѥ"
безпоносьнъ	безпоносьнъ|adj|749ad4f14fc91129	canonical:"безпоносьнъ" || page:"безпоносьнъ"
бескръбьнъ	бескръбьнъ|adj|30b7efb84a91590b	canonical:"бескръбьнъ" || page:"бескръбьнъ"
беслъньнъ	беслъньнъ|adj|c0212fc27639b0ff	canonical:"беслъньнъ" || page:"беслъньнъ"
бесплътьнъ	бесплътьнъ|adj|61cfd80152cc36d9	canonical:"бесплътьнъ" || page:"бесплътьнъ"
бесрамъкъ	бесрамъкъ|noun|f2fed652481116d0	canonical:"бесрамъкъ" || page:"бесрамъкъ"
бестоудьникъ	бестоудьникъ|noun|e31ec9704b45da98	canonical:"бестоудьникъ" || page:"бестоудьникъ"
бестоудьць	бестоудьць|noun|fd2819325ad8b76d	canonical:"бестоудьць" || page:"бестоудьць"
бестьлѣнъ	бестьлѣнъ|adj|cca07bdc32cee105	canonical:"бестьлѣнъ" || page:"бестьлѣнъ"
бестьлѣньнъ	бестьлѣньнъ|adj|38df88583e00a431	canonical:"бестьлѣньнъ" || page:"бестьлѣньнъ"
бесхрамьникъ	бесхрамьникъ|noun|d6c07b75452e17a1	canonical:"бесхрамьникъ" || page:"бесхрамьникъ"
бесѣда	бесѣда|noun|ef18b6186463bda5	canonical:"бесѣда" || page:"бесѣда"
бесѣдовати	бесѣдовати|verb|fd6fd07d93f54141	canonical:"бесѣдовати" || page:"бесѣдовати"
бивати	бивати|verb|2133cc1d867c3627	canonical:"бивати" || page:"бивати"
бискоупъ	бискоупъ|noun|a02a3a06d8850eb7	canonical:"бискоупъ" || page:"бискоупъ"
бити	бити|verb|e7ab9d294e7bdbc4	canonical:"бити" || page:"бити"
бичь	бичь|noun|5f169c375a7c2ee8	canonical:"бичь" || page:"бичь"
биѥниѥ	биѥниѥ|noun|7459f8622557e232	canonical:"биѥниѥ" || page:"биѥниѥ"
благоволеньѥ	благоволеньѥ|noun|34025e06bff7b008	canonical:"благоволеньѥ" || page:"благоволеньѥ"
благовѣствованьѥ	благовѣствованьѥ|noun|4317b3ca84b45839	canonical:"благовѣствованьѥ" || page:"благовѣствованьѥ"
благовѣштати	благовѣштати|verb|3eba53a49012fdd0	canonical:"благовѣштати" || page:"благовѣштати"
благодавьць	благодавьць|noun|8ddcebfbc3bc42f4	canonical:"благодавьць" || page:"благодавьць"
благодарьствиѥ	благодарьствиѥ|noun|a11475ed465a4340	canonical:"благодарьствиѥ" || page:"благодарьствиѥ"
благодатьникъ	благодатьникъ|noun|51ebd34cd0989832	canonical:"благодатьникъ" || page:"благодатьникъ"
благодѣтель	благодѣтел҄ь|noun|9dcb97e14c0f4c90	page:"благодѣтель"
благодѣтел҄ь	благодѣтел҄ь|noun|9dcb97e14c0f4c90	canonical:"благодѣтел҄ь" || source-canonical:"благодѣтел҄ь"
