id	lemma	page_word	key	pos	class	raw_class	gender	animacy	number_restriction	head_templates	signature
послоужити|verb|1dfa76ead61bdaec	послоужити	послоужити	послоужити	verb	II1	II1				[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"pf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"pf"}}]	1dfa76ead61bdaec
послоухъ|noun|c94a14dcf5d524fb	послоухъ	послоухъ	послоухъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	c94a14dcf5d524fb
послоушати|verb|b9664bd2de7d3b97	послоушати	послоушати	послоушати	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"?","head":"","tr":""}},{"name":"cu-verb","args":{}}]	b9664bd2de7d3b97
послоушьникъ|noun|5b12393451d56c72	послоушьникъ	послоушьникъ	послоушьникъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	5b12393451d56c72
послѣдъкъ|noun|0a48772de204ce2a	послѣдъкъ	послѣдъкъ	послѣдъкъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	0a48772de204ce2a
посоха|noun|4d67a20a4066f120	посоха	посоха	посоха	noun	a-hard	a-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	4d67a20a4066f120
поспѣхъ|noun|5c6ce6cb283e866e	поспѣхъ	поспѣхъ	поспѣхъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	5c6ce6cb283e866e
поспѣшьникъ|noun|5643da516990c493	поспѣшьникъ	поспѣшьникъ	поспѣшьникъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	5643da516990c493
поставити|verb|da227e74a7e275ca	поставити	поставити	поставити	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"pf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"pf"}}]	da227e74a7e275ca
постелꙗ|noun|13f234116041d3a3	постелꙗ	постелꙗ	постелꙗ	noun	ja-soft	a-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	13f234116041d3a3
постигнѫти|verb|c16bb2307f380bb7	постигнѫти	постигнѫти	постигнѫти	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"pf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"pf"}}]	c16bb2307f380bb7
постити|verb|843606d204a98377	постити	постити	постити	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	843606d204a98377
постригати|verb|11a0912effd3316d	постригати	постригати	постригати	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	11a0912effd3316d
пострижениѥ|noun|4bd8d7f3b21707c5	пострижениѥ	постриженьѥ	пострижениѥ	noun	jo-n-soft	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	4bd8d7f3b21707c5
пострищи|verb|5c3e24875fe4fc3d	пострищи	пострищи	пострищи	verb	IA1	IA1				[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"pf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"pf"}}]	5c3e24875fe4fc3d
постъ|noun|ab48e6f431b7bb05	постъ	постъ	постъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	ab48e6f431b7bb05
постьникъ|noun|894160d73375bde7	постьникъ	постьникъ	постьникъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	894160d73375bde7
посълати|verb|2dbb503ed0901eb2	посълати	посълати	посълати	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"pf","head":"","tr":""}},{"name":"cu-verb","args":{"a":"pf"}}]	2dbb503ed0901eb2
посꙑлати|verb|40b42dd88bf09212	посꙑлати	посꙑлати	посꙑлати	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"a":"impf"}}]	40b42dd88bf09212
