lexeme_id	feature	rank	form	romanization	source_spelling	source_tags
аблъко|noun|157d0b4cd6a712f2	noun:gen:du	0	аблъкоу	ablŭku	аблъкоу	dual,genitive
аблъко|noun|157d0b4cd6a712f2	noun:gen:pl	0	аблъкъ	ablŭkŭ	аблъкъ	genitive,plural
аблъко|noun|157d0b4cd6a712f2	noun:gen:sg	0	аблъка	ablŭka	аблъка	genitive,singular
аблъко|noun|157d0b4cd6a712f2	noun:ins:du	0	аблъкома	ablŭkoma	аблъкома	dual,instrumental
аблъко|noun|157d0b4cd6a712f2	noun:ins:pl	0	аблъкꙑ	ablŭky	аблъкꙑ	instrumental,plural
аблъко|noun|157d0b4cd6a712f2	noun:ins:sg	0	аблъкомъ	ablŭkomŭ	аблъкомъ	instrumental,singular
аблъко|noun|157d0b4cd6a712f2	noun:loc:du	0	аблъкоу	ablŭku	аблъкоу	dual,locative
аблъко|noun|157d0b4cd6a712f2	noun:loc:pl	0	аблъцѣхъ	ablŭcěxŭ	аблъцѣхъ	locative,plural
аблъко|noun|157d0b4cd6a712f2	noun:loc:sg	0	аблъцѣ	ablŭcě	аблъцѣ	locative,singular
аблъко|noun|157d0b4cd6a712f2	noun:nom:du	0	аблъцѣ	ablŭcě	аблъцѣ	dual,nominative
аблъко|noun|157d0b4cd6a712f2	noun:nom:pl	0	аблъка	ablŭka	аблъка	nominative,plural
аблъко|noun|157d0b4cd6a712f2	noun:nom:sg	0	аблъко	ablŭko	аблъко	nominative,singular
аблъко|noun|157d0b4cd6a712f2	noun:voc:du	0	аблъцѣ	ablŭcě	аблъцѣ	dual,vocative
аблъко|noun|157d0b4cd6a712f2	noun:voc:pl	0	аблъка	ablŭka	аблъка	plural,vocative
аблъко|noun|157d0b4cd6a712f2	noun:voc:sg	0	аблъко	ablŭko	аблъко	singular,vocative
авазгъ|noun|7fbb7482edaf3067	noun:acc:du	0	авазга	avazga	авазга	accusative,dual
авазгъ|noun|7fbb7482edaf3067	noun:acc:pl	0	авазгꙑ	avazgy	авазгꙑ	accusative,plural
авазгъ|noun|7fbb7482edaf3067	noun:acc:sg	0	авазгъ	avazgŭ	авазгъ	accusative,singular
авазгъ|noun|7fbb7482edaf3067	noun:dat:du	0	авазгома	avazgoma	авазгома	dative,dual
авазгъ|noun|7fbb7482edaf3067	noun:dat:pl	0	авазгомъ	avazgomŭ	авазгомъ	dative,plural
авазгъ|noun|7fbb7482edaf3067	noun:dat:sg	0	авазгоу	avazgu	авазгоу	dative,singular
авазгъ|noun|7fbb7482edaf3067	noun:gen:du	0	авазгоу	avazgu	авазгоу	dual,genitive
авазгъ|noun|7fbb7482edaf3067	noun:gen:pl	0	авазгъ	avazgŭ	авазгъ	genitive,plural
авазгъ|noun|7fbb7482edaf3067	noun:gen:sg	0	авазга	avazga	авазга	genitive,singular
авазгъ|noun|7fbb7482edaf3067	noun:ins:du	0	авазгома	avazgoma	авазгома	dual,instrumental
авазгъ|noun|7fbb7482edaf3067	noun:ins:pl	0	авазгꙑ	avazgy	авазгꙑ	instrumental,plural
авазгъ|noun|7fbb7482edaf3067	noun:ins:sg	0	авазгомъ	avazgomŭ	авазгомъ	instrumental,singular
авазгъ|noun|7fbb7482edaf3067	noun:loc:du	0	авазгоу	avazgu	авазгоу	dual,locative
авазгъ|noun|7fbb7482edaf3067	noun:loc:pl	0	авазѕѣхъ	avazdzěxŭ	авазѕѣхъ	locative,plural
