id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
сѫщьнъ.a	сѫщьнъ	a	-	-	A:-:ъ	a	-	long.pos.f.sg.loc=сѫштьнѣи	-	U:	-
сѵмеоновъ.a	сѵмеоновъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
сѵрьскъ.a	сѵрьскъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.nom=соурьскꙑ;long.pos.f.sg.acc=соуриискѫѫ	-	U:	-
сꙋгꙋбъ.a	соугоубъ	a	-	-	A:-:ъ	-	-	-	short.comp.m.sg.gen=соугоубѣиша;short.comp.n.sg.gen=соугоубѣиша;long.pos.f.sg.acc=соугоубоуѧ	K:A:-:ъ;U:	tie A:-k:ъ
сꙋхъ.a	соухъ	a	-	-	A:-k:ъ	-	-	-	long.pos.m.sg.dat=соухоуоумоу	K:A:-k:ъ;U:	-
сꙑи.a	сꙑи	a	-	-	A:-:и	-	-	-	-	U:	-
таинъ.a	таинъ	a	-	-	A:-:ъ	-	-	-	short.pos.n.sg.nom=таꙇно;long.pos.m.sg.gen=таинааго;long.pos.f.pl.acc=таинꙑѧ;long.pos.n.sg.gen=таинааго;long.pos.n.sg.loc=таинъиихъ;long.pos.n.pl.nom=таинаа;long.pos.n.pl.gen=таинъихъ;long.pos.n.pl.acc=таинаа;long.pos.n.pl.loc=таинъихъ|таинꙑхъ|таинъиихъ	K:A:-:ъ;U:	tie A:-k:ъ
таковъ.a	таковъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=таковааго;long.pos.m.sg.dat=таковоуоумоу;long.pos.m.pl.gen=таковꙑхъ;long.pos.f.sg.gen=таковꙑѧ;long.pos.f.pl.gen=таковꙑхъ;long.pos.n.sg.gen=таковааго;long.pos.n.sg.ins=таковꙑимъ	long.pos.m.sg.nom=таковъи;long.pos.n.sg.gen=таковаъго;long.pos.n.pl.gen=таковꙑхъ;long.pos.n.pl.acc=таковаа	U:	tie A:-k:ъ
талантьнъ.a	талантьнъ	a	-	-	A:-:ъ	a	-	long.pos.f.sg.nom=талантънаꙗ	-	U:	-
тарань.a	тарань	a	-	-	A:-:ь	-	-	-	-	U:	tie A:o/a:ь
таръсисьскъ.a	таръсисьскъ	a	-	-	A:-:ъ	a	-	long.pos.m.pl.acc=таръсисъскꙑѩ	-	U:	-
тачаи.a	тачаи	a	-	-	A:-:и	a	-	short.comp.n.sg.acc=тачѣе	-	U:	-
тврьдъ.a	тврьдъ	a	-	-	A:-:ъ	-	-	-	short.pos.m.sg.ins=тврьдомъ;short.pos.n.sg.nom=твръдо;long.pos.m.sg.gen=тврьдааго;long.pos.m.sg.loc=тврьдѣѥмъ;long.pos.f.sg.ins=твръдоѭ	K:A:-:ъ;U:	tie A:-k:ъ
