id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
сѵрофѵникиссанꙑни.n	сѵрофѵникиссанꙑни	n	-	-	a:и:f	a	-	nom.sg=сѵрофоникиссанꙑни	-	U:	-
сѵхарь.n	сѵхарь	n	-	-	o:ь:m	-	-	-	-	U:	tie i:ь:-,i:ь:m,n:ь:-,o:ь:-,o:ь:f,i:и:-,i:ъ:-
сꙋгꙋбина.n	соугоубина	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
сꙋета.n	соуета	n	-	-	a:а:-	-	-	-	gen.sg=соуетъи	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
сꙋкъно.n	соукъно	n	-	-	o:о:-	-	-	-	ins.sg=соукномъ	K:o:о:-;U:	tie o:о:n,ok:о:-
сꙋхота.n	соухота	n	-	-	a:а:-	-	-	-	gen.sg=хоухотꙑ	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
сꙋхоꙗдьць.n	соухоꙗдьць	n	-	-	o:ь:-	a	-	voc.sg=соухоꙗдьче	-	K:o:ь:-	-
сꙋхъ.n	соухъ	n	-	-	ok:ъ:-	-	-	-	-	K:ok:ъ:-	tie ok:ъ:m
сꙋшило.n	соушило	n	-	-	o:о:-	-	-	-	-	K:o:о:-	tie o:о:n,ok:о:-
сꙋѥта.n	соуѥта	n	-	-	a:а:-	-	-	-	gen.sg=соуетъи|соуетꙑ;dat.sg=соуетѣ;ins.sg=соуетоѭ;loc.sg=соуетѣ	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
таверъ.n	таверъ	n	-	-	o:ъ:-	-	-	-	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m,u:ъ:-,uk:ъ:-
тавиѳа.n	тавиѳа	n	-	-	a:а:-	-	-	-	-	U:	tie a:а:f,ak:а:-,a:ь:-
тадеи.n	тадеи	n	-	-	a:и:-	a	-	gen.sg=тадеа	-	U:	tie a:и:f,a:и:m,o:и:-,r:и:-
таибьна.n	таибьна	n	-	-	a:а:f	-	-	-	-	U:	tie a:а:-,ak:а:-,a:ь:-
таибьникъ.n	таибьникъ	n	-	-	ok:ъ:-	-	-	-	dat.sg=таибьникови;acc.sg=таибьника	K:ok:ъ:-	tie ok:ъ:m
таибьно.n	таибьно	n	-	-	o:о:-	-	-	-	-	U:	tie o:о:n,ok:о:-,s:о:-
таилище.n	таилище	n	-	-	o:е:-	-	-	-	-	K:o:е:-	tie o:е:n,s:е:-
таина.n	таина	n	-	-	a:а:f	-	-	-	acc.pl=таи	U:	tie a:а:-,ak:а:-,a:ь:-
таланто.n	таланто	n	-	-	o:о:-	-	-	-	-	U:	tie o:о:n,ok:о:-,s:о:-
талантъ.n	талантъ	n	-	-	o:ъ:-	-	-	-	gen.pl=таланътъ;acc.sg=таланътъ	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
тать.n	тать	n	-	-	i:ь:m	-	-	-	nom.sg=татъ;nom.pl=татие;acc.sg=татъ	K:i:ь:-;U:	-
татьба.n	татьба	n	-	-	a:а:-	-	-	-	nom.pl=татъбꙑ	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
татьбина.n	татьбина	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
тварь.n	тварь	n	-	-	i:ь:-	-	-	-	loc.pl=тварехъ	K:i:ь:-;U:	tie i:и:-,i:ъ:-
творъ.n	творъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
творьць.n	творьць	n	-	-	o:ь:-	a	-	voc.sg=творьче	nom.sg=творьцъ	K:o:ь:-;U:	-
тврьдость.n	тврьдость	n	-	-	i:ь:-	-	-	-	ins.sg=твръдостиѭ	K:i:ь:-;U:	tie i:и:-,i:ъ:-
тврьдь.n	тврьдь	n	-	-	i:ь:-	-	-	-	nom.sg=тврдъ;acc.sg=твръдь	K:i:ь:-;U:	tie i:и:-,i:ъ:-
тектонъ.n	тектонъ	n	-	-	o:ъ:m	-	-	-	-	U:	tie o:ъ:-,ok:ъ:-,ok:ъ:m,u:ъ:-,uk:ъ:-
телица.n	телица	n	-	-	a:а:-	-	-	-	-	U:	tie a:а:f,a:а:m,ak:а:-,a:ь:-,a:ꙗ:-
тельць.n	тельць	n	-	-	o:ь:-	a	-	voc.sg=тельче	nom.pl=телъци;acc.sg=телецъ|телець;acc.pl=тельцѩ	K:o:ь:-;U:	-
теплость.n	теплость	n	-	-	i:ь:-	-	-	ins.sg=теплостиѭ	-	U:	-
теплота.n	теплота	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
